RowID,PropertyZip,SquareFeet,Latitude,Longitude,Elevation,PropertyCountyLandUseCode,NoOfStories,StoryTypeStdCode,ImprovementMarketValue,TotalMarketValue,MarketValueYear
00057ABA-6FCB-E811-80C3-3863BB430E3F,77551,6970,29.260359,-94.846434,1.5,RR101,1,,48190,66390,2018
00077ABA-6FCB-E811-80C3-3863BB430E3F,77554,4661,29.297202,-94.928276,0.6,RR101,1.5,,347600,523290,2018
000F7ABA-6FCB-E811-80C3-3863BB430E3F,77550,871,29.291599,-94.804224,2.9,RR101,2,,34770,37730,2018
00117ABA-6FCB-E811-80C3-3863BB430E3F,77554,32322,29.169048,-94.992857,1.4,RR101,1.5,,597110,864910,2018
002D8BBA-6FCB-E811-80C3-3863BB430E3F,77554,6839,29.20954,-94.930478,2.8,RR101,1.5,,262020,324520,2018
003868BA-6FCB-E811-80C3-3863BB430E3F,77551,2962,29.282457,-94.817415,3.4,RR101,1,,71070,83450,2018
003D92BA-6FCB-E811-80C3-3863BB430E3F,77554,4356,29.298585,-94.914418,1.5,RR101,1,BMT,195620,245710,2018
00428EBA-6FCB-E811-80C3-3863BB430E3F,77550,2570,29.285953,-94.796309,4.4,RR101,1,,98460,108040,2018
004685BA-6FCB-E811-80C3-3863BB430E3F,77554,10498,29.103363,-95.09688,2.5,RR101,,,596410,623310,2018
004B92BA-6FCB-E811-80C3-3863BB430E3F,77554,7492,29.258983,-94.873358,1.5,RR101,2,,78940,88690,2018
004C92BA-6FCB-E811-80C3-3863BB430E3F,77550,2831,29.288096,-94.810014,2.9,RR101,1,,41410,50000,2018
004D92BA-6FCB-E811-80C3-3863BB430E3F,77550,6316,29.284441,-94.800541,4.2,RR101,2,,199260,222570,2018
004F85BA-6FCB-E811-80C3-3863BB430E3F,77554,6839,29.209673,-94.930152,2.8,RR101,,,307040,357040,2018
00558EBA-6FCB-E811-80C3-3863BB430E3F,77550,2570,29.289098,-94.795488,3.8,RR101,1,,119930,129510,2018
005892BA-6FCB-E811-80C3-3863BB430E3F,77551,2962,29.287633,-94.829623,2.2,RR101,2,,118470,128970,2018
005A8EBA-6FCB-E811-80C3-3863BB430E3F,77554,3398,29.260017,-94.869084,1.5,RR101,2,,269270,324360,2018
005C8EBA-6FCB-E811-80C3-3863BB430E3F,77550,3398,29.28923,-94.800349,3.3,RR101,2,,228760,241410,2018
005F77BA-6FCB-E811-80C3-3863BB430E3F,77554,15638,29.149984,-95.025015,0.9,RR101,,,650830,930000,2018
006777BA-6FCB-E811-80C3-3863BB430E3F,77554,26920,29.169775,-94.998916,2.4,RR101,,,223710,261440,2018
006883BA-6FCB-E811-80C3-3863BB430E3F,77551,6795,29.271491,-94.835347,1.5,RR101,1,,131490,156350,2018
007277BA-6FCB-E811-80C3-3863BB430E3F,77551,2962,29.278938,-94.823603,3.1,RR101,1,,105680,118060,2018
009F72BA-6FCB-E811-80C3-3863BB430E3F,77550,1612,29.296188,-94.787818,2.7,RR101,1,,116740,122640,2018
00A172BA-6FCB-E811-80C3-3863BB430E3F,77550,3354,29.291339,-94.797928,3.1,RR101,1,,184280,197000,2018
00A772BA-6FCB-E811-80C3-3863BB430E3F,77554,8059,29.18935,-94.979618,1.5,RR101,1,,128120,152120,2018
00B172BA-6FCB-E811-80C3-3863BB430E3F,77554,13460,29.200033,-94.944887,1.7,RR101,1,,31890,94320,2018
00E26EBA-6FCB-E811-80C3-3863BB430E3F,77550,2178,29.288332,-94.809344,2.9,RR101,1.5,,53080,61250,2018
00E562BA-6FCB-E811-80C3-3863BB430E3F,77551,9583,29.276594,-94.838066,1.5,RR101,1,,140480,169510,2018
00E662BA-6FCB-E811-80C3-3863BB430E3F,77551,5968,29.279485,-94.817558,3.7,RR101,1,,157210,181960,2018
00E96EBA-6FCB-E811-80C3-3863BB430E3F,77551,1394,29.288005,-94.82871,2.1,RR101,1,,124450,129350,2018
00EC6EBA-6FCB-E811-80C3-3863BB430E3F,77551,4792,29.280906,-94.827906,1.5,RR101,1,,117820,124150,2018
00F962BA-6FCB-E811-80C3-3863BB430E3F,77554,5576,29.130981,-95.060274,1.6,RR101,1,,112640,136050,2018
00FA62BA-6FCB-E811-80C3-3863BB430E3F,77554,10367,29.135901,-95.062175,0.3,RR101,1,,236090,360890,2018
00FB62BA-6FCB-E811-80C3-3863BB430E3F,77551,19733,29.265051,-94.84703,1.5,RR101,1.5,,385220,563520,2018
00FB79BA-6FCB-E811-80C3-3863BB430E3F,77551,5968,29.281204,-94.823198,3.2,RR101,2,,106050,130800,2018
010080BA-6FCB-E811-80C3-3863BB430E3F,77551,4008,29.282446,-94.818555,3.4,RR101,1,,95580,112080,2018
010863BA-6FCB-E811-80C3-3863BB430E3F,77554,6316,29.203271,-94.94212,2.1,RR101,1.5,,262220,308750,2018
01105DBA-6FCB-E811-80C3-3863BB430E3F,77551,3136,29.275783,-94.833069,1.5,RR101,1,,102230,112630,2018
01115DBA-6FCB-E811-80C3-3863BB430E3F,77551,6273,29.277255,-94.818636,3.8,RR101,1,,191610,227000,2018
01128BBA-6FCB-E811-80C3-3863BB430E3F,77550,8320,29.29031,-94.801317,3.1,RR101,2,,234610,268310,2018
01135DBA-6FCB-E811-80C3-3863BB430E3F,77550,5140,29.283069,-94.807779,3.7,RR101,1,,142360,161520,2018
011C68BA-6FCB-E811-80C3-3863BB430E3F,77550,6795,29.316895,-94.768655,2.3,RR101,1,,103880,141190,2018
011C8BBA-6FCB-E811-80C3-3863BB430E3F,77551,1133,29.287081,-94.827578,2.1,RR101,1,,24670,28630,2018
012F65BA-6FCB-E811-80C3-3863BB430E3F,77554,6621,29.132764,-95.057698,1.6,RR101,1.5,,261490,289240,2018
013D65BA-6FCB-E811-80C3-3863BB430E3F,77550,5009,29.305175,-94.774671,3,RR101,1,,263020,281680,2018
01498EBA-6FCB-E811-80C3-3863BB430E3F,77551,8973,29.282644,-94.816145,3.4,RR101,1,,205310,241450,2018
014C65BA-6FCB-E811-80C3-3863BB430E3F,77551,3398,29.278451,-94.826688,1.5,RR101,1,,180830,194900,2018
014E83BA-6FCB-E811-80C3-3863BB430E3F,77551,5314,29.275781,-94.826506,1.8,RR101,1,,110460,137490,2018
015283BA-6FCB-E811-80C3-3863BB430E3F,77554,6098,29.205087,-94.935165,2.2,RR101,2,,459030,532520,2018
015983BA-6FCB-E811-80C3-3863BB430E3F,77550,1263,29.299812,-94.779096,3,RR101,1,,85670,89730,2018
015E83BA-6FCB-E811-80C3-3863BB430E3F,77554,7579,29.280765,-94.867749,0.1,RR101,1,,148080,173540,2018
01658EBA-6FCB-E811-80C3-3863BB430E3F,77554,6534,29.218003,-94.945007,0.4,RR101,1,,193910,410000,2018
018C5FBA-6FCB-E811-80C3-3863BB430E3F,77554,7492,29.199926,-94.943957,1.8,RR101,1,,141410,169530,2018
018C6ABA-6FCB-E811-80C3-3863BB430E3F,77550,1655,29.290212,-94.792539,3.5,RR101,1,,73710,78970,2018
01975FBA-6FCB-E811-80C3-3863BB430E3F,77551,5489,29.274395,-94.826241,2.2,RR101,1,,94600,107830,2018
01995FBA-6FCB-E811-80C3-3863BB430E3F,77550,2962,29.322942,-94.742451,0.4,RR101,3,,1933760,2153480,2018
01A15FBA-6FCB-E811-80C3-3863BB430E3F,77554,5358,29.136942,-95.060112,0.2,RR101,1,,269310,333630,2018
01A76ABA-6FCB-E811-80C3-3863BB430E3F,77550,8146,29.277581,-94.81054,4.4,RR101,2,,340180,386080,2018
01A86ABA-6FCB-E811-80C3-3863BB430E3F,77554,8494,29.202703,-94.941836,2.2,RR101,1,,311990,387910,2018
01A86CBA-6FCB-E811-80C3-3863BB430E3F,77551,6578,29.269925,-94.842786,1.5,RR101,1,,113340,133800,2018
01A96ABA-6FCB-E811-80C3-3863BB430E3F,77550,2570,29.307933,-94.777291,2.6,RR101,1,,166000,175540,2018
01B06CBA-6FCB-E811-80C3-3863BB430E3F,77554,5968,29.298175,-94.912761,1.5,RR101,,,256560,325190,2018
01B97CBA-6FCB-E811-80C3-3863BB430E3F,77551,6970,29.258986,-94.845708,1.5,RR101,1,,81800,100000,2018
01BB6CBA-6FCB-E811-80C3-3863BB430E3F,77554,8973,29.129134,-95.057363,1.5,RR101,1,,141460,307460,2018
01BB72BA-6FCB-E811-80C3-3863BB430E3F,77550,1699,29.297158,-94.785658,2.8,RR101,1,,93820,101950,2018
01BD7CBA-6FCB-E811-80C3-3863BB430E3F,77551,5489,29.287832,-94.831124,1.9,RR101,1,,75300,83000,2018
01BE6CBA-6FCB-E811-80C3-3863BB430E3F,77551,9757,29.264484,-94.845885,0.9,RR101,1,,249060,360420,2018
01BF6CBA-6FCB-E811-80C3-3863BB430E3F,77554,7449,29.185419,-94.977142,1.7,RR101,1,,99050,121160,2018
01CE6EBA-6FCB-E811-80C3-3863BB430E3F,77554,6055,29.141783,-95.052961,0.1,RR101,1,,230230,345750,2018
