Year,Objective
0,0
1,0
2,0
3,0
4,0
5,0
6,991045.4368
7,1.86E+07
8,7.43E+07
9,1.37E+08
10,1.99E+08
11,2.64E+08
12,3.37E+08
13,4.10E+08
14,4.73E+08
15,5.31E+08
16,5.63E+08
17,5.92E+08
18,6.08E+08
19,6.28E+08
20,6.58E+08
21,6.65E+08
22,6.70E+08
23,6.76E+08
24,6.90E+08
25,7.09E+08
26,7.24E+08
27,7.55E+08
28,7.86E+08
29,8.14E+08
30,8.63E+08
31,9.01E+08
32,9.34E+08
33,9.80E+08
34,9.99E+08
35,1.01E+09
36,1.03E+09
37,1.03E+09
38,1.04E+09
39,1.05E+09
40,1.05E+09
41,1.06E+09
42,1.06E+09
43,1.06E+09
44,1.06E+09
45,1.07E+09
46,1.07E+09
47,1.07E+09
48,1.07E+09
49,1.07E+09
50,1.07E+09
51,1.07E+09
52,1.07E+09
53,1.07E+09
54,1.07E+09
55,1.09E+09
56,1.09E+09
57,1.09E+09
58,1.10E+09
59,1.10E+09
60,1.10E+09
61,1.10E+09
62,1.10E+09
63,1.10E+09
64,1.10E+09
65,1.10E+09
66,1.10E+09
67,1.10E+09
68,1.10E+09
69,1.10E+09
70,1.10E+09
71,1.10E+09
72,1.10E+09
73,1.10E+09
74,1.10E+09
75,1.10E+09
76,1.10E+09
77,1.10E+09
78,1.10E+09
79,1.10E+09
80,1.10E+09
81,1.10E+09
