Year,Objective
0,0
1,0
2,0
3,0
4,0
5,0
6,991045.4368
7,1.86E+07
8,7.17E+07
9,1.16E+08
10,1.59E+08
11,1.96E+08
12,2.44E+08
13,2.98E+08
14,3.33E+08
15,3.65E+08
16,3.74E+08
17,3.89E+08
18,3.95E+08
19,4.06E+08
20,4.20E+08
21,4.24E+08
22,4.27E+08
23,4.31E+08
24,4.43E+08
25,4.55E+08
26,4.61E+08
27,4.81E+08
28,5.03E+08
29,5.18E+08
30,5.52E+08
31,5.70E+08
32,5.88E+08
33,6.14E+08
34,6.17E+08
35,6.24E+08
36,6.30E+08
37,6.30E+08
38,6.30E+08
39,6.30E+08
40,6.30E+08
41,6.30E+08
42,6.30E+08
43,6.31E+08
44,6.31E+08
45,6.31E+08
46,6.31E+08
47,6.31E+08
48,6.31E+08
49,6.31E+08
50,6.31E+08
51,6.32E+08
52,6.32E+08
53,6.32E+08
54,6.33E+08
55,6.49E+08
56,6.50E+08
57,6.51E+08
58,6.54E+08
59,6.54E+08
60,6.54E+08
61,6.55E+08
62,6.55E+08
63,6.55E+08
64,6.55E+08
65,6.55E+08
66,6.55E+08
67,6.55E+08
68,6.55E+08
69,6.55E+08
70,6.55E+08
71,6.55E+08
72,6.55E+08
73,6.55E+08
74,6.55E+08
75,6.55E+08
76,6.55E+08
77,6.55E+08
78,6.55E+08
79,6.55E+08
80,6.55E+08
81,6.55E+08
