Year,Objective
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1.16E+09
15,3.09E+09
16,5.73E+09
17,8.20E+09
18,1.13E+10
19,1.48E+10
20,1.70E+10
21,1.71E+10
22,1.71E+10
23,1.71E+10
24,1.73E+10
25,1.74E+10
26,1.76E+10
27,1.81E+10
28,1.83E+10
29,1.83E+10
30,1.83E+10
31,1.83E+10
32,1.83E+10
33,1.83E+10
34,1.83E+10
35,1.83E+10
36,1.83E+10
37,1.83E+10
38,1.83E+10
39,1.83E+10
40,1.83E+10
41,1.83E+10
42,1.83E+10
43,1.83E+10
44,1.83E+10
45,1.83E+10
46,1.83E+10
47,1.83E+10
48,1.83E+10
49,1.83E+10
50,1.83E+10
51,1.83E+10
52,1.83E+10
53,1.83E+10
54,1.83E+10
55,1.83E+10
56,1.83E+10
57,1.83E+10
58,1.83E+10
59,1.83E+10
60,1.83E+10
61,1.83E+10
62,1.83E+10
63,1.83E+10
64,1.83E+10
65,1.83E+10
66,1.83E+10
67,1.83E+10
68,1.83E+10
69,1.83E+10
70,1.83E+10
71,1.83E+10
72,1.83E+10
73,1.83E+10
74,1.83E+10
75,1.83E+10
76,1.83E+10
77,1.83E+10
78,1.83E+10
79,1.83E+10
80,1.83E+10
81,1.83E+10
