Year,Objective
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1.16E+09
15,3.43E+09
16,6.62E+09
17,9.98E+09
18,1.47E+10
19,2.06E+10
20,2.66E+10
21,2.88E+10
22,2.88E+10
23,2.88E+10
24,2.90E+10
25,2.91E+10
26,2.95E+10
27,3.06E+10
28,3.11E+10
29,3.11E+10
30,3.11E+10
31,3.11E+10
32,3.11E+10
33,3.11E+10
34,3.11E+10
35,3.11E+10
36,3.11E+10
37,3.11E+10
38,3.11E+10
39,3.11E+10
40,3.11E+10
41,3.11E+10
42,3.11E+10
43,3.11E+10
44,3.11E+10
45,3.11E+10
46,3.11E+10
47,3.11E+10
48,3.11E+10
49,3.11E+10
50,3.11E+10
51,3.11E+10
52,3.11E+10
53,3.11E+10
54,3.11E+10
55,3.11E+10
56,3.11E+10
57,3.11E+10
58,3.11E+10
59,3.11E+10
60,3.11E+10
61,3.11E+10
62,3.11E+10
63,3.11E+10
64,3.11E+10
65,3.11E+10
66,3.11E+10
67,3.11E+10
68,3.11E+10
69,3.11E+10
70,3.11E+10
71,3.11E+10
72,3.11E+10
73,3.11E+10
74,3.11E+10
75,3.11E+10
76,3.11E+10
77,3.11E+10
78,3.11E+10
79,3.11E+10
80,3.11E+10
81,3.11E+10
