"BehaviorSpace results (NetLogo 6.1.1)"
"/Users/tikumporn/Desktop/GitHub/GameTheoryFloodReloc/Netlogo/hyperbolic.nlogo"
"best_Subsidy"
"11/27/2019 13:15:44:513 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1000","0","0","1000"
"[run number]","Hyperbolic_rate","Moving_Cost_Multiplier","[step]","OBJECTIVE"
"1","0","1","101","469960000"
"2","0.1","1","101","4.701436433581134E8"
"4","0.3","1","101","4.7414402572393906E8"
"3","0.2","1","101","4.7193617551309246E8"
"8","0.7","1","101","4.7673281402347535E8"
"5","0.4","1","101","4.771507294983312E8"
"6","0.5","1","101","4.8823206686612916E8"
"7","0.6","1","101","4.874866679366294E8"
"9","0.8","1","101","4.753141087224417E8"
"10","0.9","1","101","4.756798119153192E8"
"12","0","1.1","101","469960000"
"11","1","1","101","4.758141412296926E8"
"13","0.1","1.1","101","4.707724041294473E8"
"14","0.2","1.1","101","4.73478469244072E8"
"15","0.3","1.1","101","4.777348334672901E8"
"16","0.4","1.1","101","4.829284566423597E8"
"17","0.5","1.1","101","5.0176619310261875E8"
"18","0.6","1.1","101","5.012258858431301E8"
"19","0.7","1.1","101","4.854851081436303E8"
"20","0.8","1.1","101","4.761496479851249E8"
"21","0.9","1.1","101","4.7642627811500514E8"
"22","1","1.1","101","4.764464042653168E8"
"23","0","1.2","101","469960000"
"24","0.1","1.2","101","4.7178040418490154E8"
"25","0.2","1.2","101","4.761511893328004E8"
"26","0.3","1.2","101","4.8320671766570264E8"
"28","0.5","1.2","101","5.1115343964981997E8"
"27","0.4","1.2","101","4.909672317343978E8"
"29","0.6","1.2","101","5.1044887148605114E8"
"30","0.7","1.2","101","4.974889567281734E8"
"31","0.8","1.2","101","4.775187182913161E8"
"32","0.9","1.2","101","4.773247236260157E8"
"33","1","1.2","101","4.7730957257725453E8"
"34","0","1.3","101","469960000"
"35","0.1","1.3","101","4.7306700262387604E8"
"36","0.2","1.3","101","4.80406646064695E8"
"37","0.3","1.3","101","4.8897500337202203E8"
"38","0.4","1.3","101","5.018478210582697E8"
"39","0.5","1.3","101","5.222630198484815E8"
"40","0.6","1.3","101","5.2174509497472763E8"
"41","0.7","1.3","101","5.087298895339929E8"
"42","0.8","1.3","101","4.7964841494116884E8"
"43","0.9","1.3","101","4.785628174015049E8"
"44","1","1.3","101","4.7839913646041375E8"
"45","0","1.4","101","469960000"
"46","0.1","1.4","101","4.74605638861544E8"
"47","0.2","1.4","101","4.8620285523648375E8"
