"BehaviorSpace results (NetLogo 6.1.1)"
"/Users/tikumporn/Desktop/GitHub/GameTheoryFloodReloc/Netlogo/ObjRun.nlogo"
"best_Subsidy"
"11/13/2019 18:24:38:192 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1000","0","0","1000"
"[run number]","Subsidy","Moving_Cost_Multiplier","[step]","OBJECTIVE"
"3","20000","7","101","5.470497494723275E9"
"1","0","7","101","5.441041664019681E9"
"4","30000","7","101","5.482263083801057E9"
"2","10000","7","101","5.452406645895101E9"
"5","40000","7","101","5.491340976226241E9"
"6","50000","7","101","5.501373245994114E9"
"7","60000","7","101","5.506490509790279E9"
"8","70000","7","101","5.511710540127959E9"
"10","90000","7","101","5.527460328812948E9"
"12","110000","7","101","5.54691392666244E9"
"11","100000","7","101","5.534581912600536E9"
"9","80000","7","101","5.513832521412519E9"
"13","120000","7","101","5.556625787505256E9"
"14","130000","7","101","5.569573350521688E9"
"15","140000","7","101","5.584501765585774E9"
"16","150000","7","101","5.595643481388371E9"
"17","160000","7","101","5.611890053092811E9"
"18","170000","7","101","5.629169700307534E9"
"19","180000","7","101","5.640300698009677E9"
"20","190000","7","101","5.656055596522737E9"
"21","200000","7","101","5.678523124148103E9"
"22","210000","7","101","5.699183542929404E9"
"23","220000","7","101","5.72460099116152E9"
"24","230000","7","101","5.745411498365765E9"
"25","240000","7","101","5.766917961081663E9"
"26","250000","7","101","5.790177861206975E9"
"27","260000","7","101","5.817056350889291E9"
"28","270000","7","101","5.841255623983631E9"
"29","280000","7","101","5.871824835141393E9"
"30","290000","7","101","5.899166775281919E9"
"31","300000","7","101","5.92321854435737E9"
"32","310000","7","101","5.953537923128497E9"
"34","330000","7","101","6.019620475315094E9"
"33","320000","7","101","5.9865021483611E9"
"36","350000","7","101","6.094908247964839E9"
"35","340000","7","101","6.057455836153629E9"
"37","360000","7","101","6.130315715308411E9"
"38","370000","7","101","6.168627113972265E9"
"39","380000","7","101","6.208130199316029E9"
"40","390000","7","101","6.249362029444129E9"
"43","420000","7","101","6.369987525789326E9"
"41","400000","7","101","6.289363309161672E9"
"44","430000","7","101","6.415854919113692E9"
"42","410000","7","101","6.328040841283777E9"
"45","440000","7","101","6.460827829453897E9"
"46","450000","7","101","6.498053301821106E9"
"47","460000","7","101","6.54075744022487E9"
"48","470000","7","101","6.588058790074764E9"
"49","480000","7","101","6.636147331618802E9"
"50","490000","7","101","6.683563375501872E9"
"51","500000","7","101","6.735678063117111E9"
"52","510000","7","101","6.784721966250215E9"
"53","520000","7","101","6.834304234621846E9"
"54","530000","7","101","6.888346720032747E9"
"55","540000","7","101","6.941024715428799E9"
"56","550000","7","101","6.99486362182042E9"
"57","560000","7","101","7.052316556661468E9"
"58","570000","7","101","7.106390313059153E9"
"59","580000","7","101","7.162099768377502E9"
"60","590000","7","101","7.220471660793991E9"
"61","600000","7","101","7.277404458371724E9"
"62","610000","7","101","7.336278227698489E9"
"63","620000","7","101","7.396221296678897E9"
"64","630000","7","101","7.458961012147587E9"
"65","640000","7","101","7.5214010437004385E9"
"66","650000","7","101","7.584563726443877E9"
"67","660000","7","101","7.646531435844136E9"
"68","670000","7","101","7.712205644475522E9"
"69","680000","7","101","7.777834498725724E9"
"71","700000","7","101","7.907868678686473E9"
"70","690000","7","101","7.842082355936289E9"
"72","710000","7","101","7.972953005664994E9"
"73","720000","7","101","8.036146540809973E9"
"74","730000","7","101","8.104918416036594E9"
"75","740000","7","101","8.175616952908114E9"
"76","750000","7","101","8.244161190022332E9"
"77","760000","7","101","8.313370266549681E9"
"78","770000","7","101","8.386406476441242E9"
"79","780000","7","101","8.46079201437148E9"
"80","790000","7","101","8.534352556973616E9"
"81","800000","7","101","8.609176786599775E9"
"82","810000","7","101","8.681270906333878E9"
"83","820000","7","101","8.755511569780405E9"
"84","830000","7","101","8.83200101789014E9"
"85","840000","7","101","8.904559582272564E9"
"87","860000","7","101","9.054306618772413E9"
"86","850000","7","101","8.979103064529312E9"
"88","870000","7","101","9.129953748221226E9"
"89","880000","7","101","9.203898067789665E9"
"91","900000","7","101","9.354588700411482E9"
"90","890000","7","101","9.2756377140278E9"
"92","910000","7","101","9.436469601873077E9"
"94","930000","7","101","9.596088776334461E9"
"95","940000","7","101","9.677064329499193E9"
"96","950000","7","101","9.759527328773777E9"
"93","920000","7","101","9.515860068776022E9"
"97","960000","7","101","9.840297346510082E9"
"99","980000","7","101","1.0003908207703138E10"
"98","970000","7","101","9.922410974973848E9"
"100","990000","7","101","1.0086791831375887E10"
"101","1000000","7","101","1.016995344813127E10"
"103","10000","7.1","101","5.633097592795316E9"
"102","0","7.1","101","5.637599164654092E9"
"104","20000","7.1","101","5.638190250381777E9"
"105","30000","7.1","101","5.652807718452964E9"
"106","40000","7.1","101","5.663496876848189E9"
"107","50000","7.1","101","5.666545058390154E9"
"108","60000","7.1","101","5.672463650788224E9"
"109","70000","7.1","101","5.682696155882047E9"
"110","80000","7.1","101","5.687050280100617E9"
"111","90000","7.1","101","5.688488644770243E9"
"112","100000","7.1","101","5.698619445936544E9"
"113","110000","7.1","101","5.707368532847274E9"
"114","120000","7.1","101","5.723212939605389E9"
"115","130000","7.1","101","5.736780450184608E9"
"116","140000","7.1","101","5.750168111638627E9"
"117","150000","7.1","101","5.76104968977077E9"
"118","160000","7.1","101","5.777543004441298E9"
"119","170000","7.1","101","5.78749898392942E9"
"120","180000","7.1","101","5.803036176357699E9"
"121","190000","7.1","101","5.822513295158058E9"
"122","200000","7.1","101","5.839357673097597E9"
"123","210000","7.1","101","5.853737984513501E9"
"124","220000","7.1","101","5.873697650969949E9"
"125","230000","7.1","101","5.894942097391118E9"
"126","240000","7.1","101","5.916502220523414E9"
"127","250000","7.1","101","5.937927993235757E9"
"128","260000","7.1","101","5.961880964092244E9"
"129","270000","7.1","101","5.983525705091701E9"
"130","280000","7.1","101","6.010589515251543E9"
"131","290000","7.1","101","6.037997404517424E9"
"132","300000","7.1","101","6.06669716871705E9"
"133","310000","7.1","101","6.099113046947182E9"
"134","320000","7.1","101","6.130101258795503E9"
"135","330000","7.1","101","6.160385573960742E9"
"136","340000","7.1","101","6.19157261964376E9"
"137","350000","7.1","101","6.224707077207825E9"
"138","360000","7.1","101","6.260494523479042E9"
"139","370000","7.1","101","6.297407028174481E9"
"140","380000","7.1","101","6.332998125840063E9"
"142","400000","7.1","101","6.410125418789444E9"
"141","390000","7.1","101","6.368554924519797E9"
"143","410000","7.1","101","6.451158377608025E9"
"144","420000","7.1","101","6.4906471060851E9"
"145","430000","7.1","101","6.533829588548608E9"
"146","440000","7.1","101","6.575755673351649E9"
"147","450000","7.1","101","6.616305298261856E9"
"148","460000","7.1","101","6.662425780868569E9"
"149","470000","7.1","101","6.705583146205778E9"
"150","480000","7.1","101","6.750431727861345E9"
"151","490000","7.1","101","6.795909575589729E9"
"152","500000","7.1","101","6.847978300602949E9"
"153","510000","7.1","101","6.894305552077297E9"
"154","520000","7.1","101","6.943781024277624E9"
"155","530000","7.1","101","6.994258290091181E9"
"156","540000","7.1","101","7.045519076484328E9"
"157","550000","7.1","101","7.100556385551163E9"
"158","560000","7.1","101","7.150245899986083E9"
"160","580000","7.1","101","7.259655527448347E9"
"159","570000","7.1","101","7.205049433519267E9"
"161","590000","7.1","101","7.318104629139498E9"
"162","600000","7.1","101","7.372989919515717E9"
"163","610000","7.1","101","7.428533272262538E9"
"164","620000","7.1","101","7.486734264150135E9"
"165","630000","7.1","101","7.547603055584067E9"
"166","640000","7.1","101","7.609605188419412E9"
"167","650000","7.1","101","7.669716065126034E9"
"168","660000","7.1","101","7.730307495910186E9"
"169","670000","7.1","101","7.791093119027259E9"
"170","680000","7.1","101","7.857451806309792E9"
"171","690000","7.1","101","7.920213804427824E9"
"172","700000","7.1","101","7.985955457011593E9"
"173","710000","7.1","101","8.053767328162046E9"
"174","720000","7.1","101","8.1207272311285305E9"
"175","730000","7.1","101","8.187264747336653E9"
"176","740000","7.1","101","8.255816408201408E9"
"177","750000","7.1","101","8.321735997172123E9"
"178","760000","7.1","101","8.392352942896216E9"
"179","770000","7.1","101","8.462143710711643E9"
"180","780000","7.1","101","8.525274701687752E9"
"182","800000","7.1","101","8.67083408629576E9"
"181","790000","7.1","101","8.598778830923183E9"
"183","810000","7.1","101","8.74630390432585E9"
"184","820000","7.1","101","8.820301162495968E9"
"185","830000","7.1","101","8.895783987082994E9"
"186","840000","7.1","101","8.970395441923153E9"
"187","850000","7.1","101","9.04730164059463E9"
"188","860000","7.1","101","9.121515304437967E9"
"190","880000","7.1","101","9.273946771931936E9"
"189","870000","7.1","101","9.199243378762077E9"
"191","890000","7.1","101","9.349552795901358E9"
"192","900000","7.1","101","9.42269745236863E9"
"193","910000","7.1","101","9.499182074129944E9"
"194","920000","7.1","101","9.576063863357143E9"
"195","930000","7.1","101","9.653765868962044E9"
"196","940000","7.1","101","9.732924542401274E9"
"197","950000","7.1","101","9.807173063213161E9"
"198","960000","7.1","101","9.888996640602125E9"
"199","970000","7.1","101","9.967805502877098E9"
"200","980000","7.1","101","1.0050045256826338E10"
"201","990000","7.1","101","1.0129094358803276E10"
"202","1000000","7.1","101","1.0213145991196781E10"
"203","0","7.2","101","5.851380242459208E9"
"204","10000","7.2","101","5.833259825364702E9"
"206","30000","7.2","101","5.82154361937367E9"
"205","20000","7.2","101","5.825055389241856E9"
"207","40000","7.2","101","5.827286188662181E9"
"208","50000","7.2","101","5.837110569975113E9"
"209","60000","7.2","101","5.846899774870878E9"
"210","70000","7.2","101","5.854276324085606E9"
"211","80000","7.2","101","5.864903026137494E9"
