[run number],Subsidy,Moving_Cost_Multiplier,[step],OBJECTIVE,,,,,,
2,20000,1,101,2.33E+08,,,,,,
1,10000,1,101,1.45E+08,,,,,,
3,30000,1,101,3.24E+08,,,,,,
4,40000,1,101,4.17E+08,,,,,,
5,50000,1,101,5.11E+08,,,,,,
6,60000,1,101,6.06E+08,,,,,,
7,70000,1,101,7.02E+08,,,,,,
8,80000,1,101,7.99E+08,,,,,,
9,90000,1,101,8.97E+08,,,,,Moving_Cost_Multiplier,10
10,100000,1,101,9.96E+08,,,,,,
11,110000,1,101,1.09E+09,,,,,行标签,求和项:OBJECTIVE
12,120000,1,101,1.19E+09,,,,,10000,12781724898
13,130000,1,101,1.29E+09,,,,,20000,12757175365
14,140000,1,101,1.39E+09,,,,,30000,12735929178
15,150000,1,101,1.49E+09,,,,,40000,12698657899
16,160000,1,101,1.59E+09,,,,,50000,12662182601
17,170000,1,101,1.69E+09,,,,,60000,12625153766
18,180000,1,101,1.80E+09,,,,,70000,12582157417
20,200000,1,101,2.00E+09,,,,,80000,12543237360
19,190000,1,101,1.90E+09,,,,,90000,12518924572
21,210000,1,101,2.10E+09,,,,,100000,12477616591
22,220000,1,101,2.20E+09,,,,,110000,12452771300
23,230000,1,101,2.30E+09,,,,,120000,12416719000
24,240000,1,101,2.40E+09,,,,,130000,12395418282
25,250000,1,101,2.50E+09,,,,,140000,12369122962
26,260000,1,101,2.60E+09,,,,,150000,12340233394
27,270000,1,101,2.70E+09,,,,,160000,12317542904
28,280000,1,101,2.80E+09,,,,,170000,12289418488
29,290000,1,101,2.90E+09,,,,,180000,12248922053
31,310000,1,101,3.10E+09,,,,,190000,12217046781
30,300000,1,101,3.00E+09,,,,,200000,12197532273
32,320000,1,101,3.21E+09,,,,,210000,12188880530
33,330000,1,101,3.31E+09,,,,,220000,12175749824
34,340000,1,101,3.41E+09,,,,,230000,12166949881
35,350000,1,101,3.51E+09,,,,,240000,12147222632
36,360000,1,101,3.61E+09,,,,,250000,12141038584
37,370000,1,101,3.71E+09,,,,,260000,12128422951
38,380000,1,101,3.81E+09,,,,,270000,12117395104
39,390000,1,101,3.91E+09,,,,,280000,12096122375
40,400000,1,101,4.01E+09,,,,,290000,12088749080
41,410000,1,101,4.11E+09,,,,,300000,12079732744
42,420000,1,101,4.21E+09,,,,,310000,12070701594
43,430000,1,101,4.31E+09,,,,,320000,12063122833
44,440000,1,101,4.41E+09,,,,,330000,12043807817
45,450000,1,101,4.51E+09,,,,,340000,12033330638
46,460000,1,101,4.61E+09,,,,,350000,12024310931
47,470000,1,101,4.71E+09,,,,,360000,12011883867
48,480000,1,101,4.81E+09,,,,,370000,12006964934
49,490000,1,101,4.91E+09,,,,,380000,11994977908
50,500000,1,101,5.01E+09,,,,,390000,11984829106
51,510000,1,101,5.11E+09,,,,,400000,11936908552
