"export-plot data (NetLogo 6.1.1)"
"HyperWithNB.nlogo"
"02/28/2020 13:33:06:650 -0600"

"MODEL SETTINGS"
"location","hyperbolic?","hyperbolic_rate","poor_dis","subsidy","government_dis","government_strategy","flood_height_meters_100y","normal_dis","house_price_cutoff","flood_height_meters_10y","period","threshold","mhhw_meters","moving_cost_multiplier","fix_benefit","flood_type","msl_meters"
"""NY""","true","0.12","0.18","10000","0.036","""One-time-Subsidy""","1.84","0.09","389000","1.11","100","0","2.543","2.7","0","""Multiple""","1.785"

"""Moved by influence"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","126","0","1070","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","126","101"
"""pen-1""","true","0","1","64","101"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","126","true","0","0","64","true"
"1","0","126","true","1","0","64","true"
"2","0","126","true","2","0","64","true"
"3","0","126","true","3","0","64","true"
"4","0","126","true","4","0","64","true"
"5","0","126","true","5","0","64","true"
"6","0","126","true","6","0","64","true"
"7","142","126","true","7","9","64","true"
"8","271","126","true","8","42","64","true"
"9","364","126","true","9","59","64","true"
"10","409","126","true","10","64","64","true"
"11","470","126","true","11","68","64","true"
"12","529","126","true","12","70","64","true"
"13","595","126","true","13","73","64","true"
"14","679","126","true","14","77","64","true"
"15","757","126","true","15","80","64","true"
"16","826","126","true","16","84","64","true"
"17","876","126","true","17","90","64","true"
"18","898","126","true","18","90","64","true"
"19","926","126","true","19","90","64","true"
"20","944","126","true","20","90","64","true"
"21","959","126","true","21","91","64","true"
"22","963","126","true","22","91","64","true"
"23","973","126","true","23","91","64","true"
"24","984","126","true","24","91","64","true"
"25","986","126","true","25","91","64","true"
"26","986","126","true","26","91","64","true"
"27","986","126","true","27","91","64","true"
"28","986","126","true","28","91","64","true"
"29","986","126","true","29","91","64","true"
"30","986","126","true","30","91","64","true"
"31","986","126","true","31","91","64","true"
"32","986","126","true","32","91","64","true"
"33","986","126","true","33","91","64","true"
"34","986","126","true","34","91","64","true"
"35","986","126","true","35","91","64","true"
"36","986","126","true","36","91","64","true"
"37","986","126","true","37","91","64","true"
"38","986","126","true","38","91","64","true"
"39","986","126","true","39","91","64","true"
"40","986","126","true","40","91","64","true"
"41","986","126","true","41","91","64","true"
"42","986","126","true","42","91","64","true"
"43","986","126","true","43","91","64","true"
"44","986","126","true","44","91","64","true"
"45","986","126","true","45","91","64","true"
"46","986","126","true","46","91","64","true"
"47","986","126","true","47","91","64","true"
"48","986","126","true","48","91","64","true"
"49","986","126","true","49","91","64","true"
"50","986","126","true","50","91","64","true"
"51","986","126","true","51","91","64","true"
"52","986","126","true","52","91","64","true"
"53","986","126","true","53","91","64","true"
"54","986","126","true","54","91","64","true"
"55","986","126","true","55","91","64","true"
"56","986","126","true","56","91","64","true"
"57","986","126","true","57","91","64","true"
"58","986","126","true","58","91","64","true"
"59","986","126","true","59","91","64","true"
"60","986","126","true","60","91","64","true"
"61","986","126","true","61","91","64","true"
"62","986","126","true","62","91","64","true"
"63","986","126","true","63","91","64","true"
"64","986","126","true","64","91","64","true"
"65","986","126","true","65","91","64","true"
"66","986","126","true","66","91","64","true"
"67","986","126","true","67","91","64","true"
"68","986","126","true","68","91","64","true"
"69","986","126","true","69","91","64","true"
"70","986","126","true","70","91","64","true"
"71","986","126","true","71","91","64","true"
"72","986","126","true","72","91","64","true"
"73","986","126","true","73","91","64","true"
"74","986","126","true","74","91","64","true"
"75","986","126","true","75","91","64","true"
"76","986","126","true","76","91","64","true"
"77","986","126","true","77","91","64","true"
"78","986","126","true","78","91","64","true"
"79","986","126","true","79","91","64","true"
"80","986","126","true","80","91","64","true"
"81","986","126","true","81","91","64","true"
"82","986","126","true","82","91","64","true"
"83","986","126","true","83","91","64","true"
"84","986","126","true","84","91","64","true"
"85","986","126","true","85","91","64","true"
"86","986","126","true","86","91","64","true"
"87","986","126","true","87","91","64","true"
"88","986","126","true","88","91","64","true"
"89","986","126","true","89","91","64","true"
"90","986","126","true","90","91","64","true"
"91","986","126","true","91","91","64","true"
"92","986","126","true","92","91","64","true"
"93","986","126","true","93","91","64","true"
"94","986","126","true","94","91","64","true"
"95","986","126","true","95","91","64","true"
"96","986","126","true","96","91","64","true"
"97","986","126","true","97","91","64","true"
"98","986","126","true","98","91","64","true"
"99","986","126","true","99","91","64","true"
"100","986","126","true","100","91","64","true"
"101","986","126","true","101","91","64","true"
