Year,Objective
0,0
1,0
2,0
3,0
4,0
5,0
6,991045.4368
7,1.86E+07
8,7.40E+07
9,1.26E+08
10,1.78E+08
11,2.25E+08
12,2.86E+08
13,3.48E+08
14,3.98E+08
15,4.42E+08
16,4.59E+08
17,4.79E+08
18,4.89E+08
19,5.05E+08
20,5.28E+08
21,5.33E+08
22,5.36E+08
23,5.42E+08
24,5.55E+08
25,5.70E+08
26,5.82E+08
27,6.07E+08
28,6.32E+08
29,6.53E+08
30,6.97E+08
31,7.25E+08
32,7.47E+08
33,7.82E+08
34,7.93E+08
35,8.02E+08
36,8.09E+08
37,8.11E+08
38,8.11E+08
39,8.17E+08
40,8.18E+08
41,8.18E+08
42,8.18E+08
43,8.19E+08
44,8.19E+08
45,8.21E+08
46,8.21E+08
47,8.21E+08
48,8.21E+08
49,8.21E+08
50,8.21E+08
51,8.22E+08
52,8.22E+08
53,8.22E+08
54,8.22E+08
55,8.39E+08
56,8.40E+08
57,8.40E+08
58,8.43E+08
59,8.43E+08
60,8.43E+08
61,8.44E+08
62,8.45E+08
63,8.45E+08
64,8.45E+08
65,8.45E+08
66,8.45E+08
67,8.45E+08
68,8.45E+08
69,8.45E+08
70,8.45E+08
71,8.46E+08
72,8.46E+08
73,8.46E+08
74,8.46E+08
75,8.46E+08
76,8.46E+08
77,8.46E+08
78,8.46E+08
79,8.46E+08
80,8.46E+08
81,8.46E+08
