Subsidy,OBJECTIVE
10000,1.67E+07
30000,1.94E+07
20000,1.78E+07
0,1.56E+07
40000,2.14E+07
60000,2.51E+07
50000,2.30E+07
70000,2.74E+07
90000,3.12E+07
110000,3.50E+07
80000,2.92E+07
100000,3.30E+07
120000,3.72E+07
130000,3.96E+07
140000,4.18E+07
150000,4.38E+07
180000,4.98E+07
170000,4.77E+07
160000,4.58E+07
190000,5.19E+07
200000,5.43E+07
210000,5.66E+07
220000,5.88E+07
230000,6.12E+07
240000,6.35E+07
250000,6.59E+07
260000,6.83E+07
270000,7.09E+07
280000,7.33E+07
300000,7.81E+07
310000,8.08E+07
290000,7.58E+07
320000,8.32E+07
330000,8.57E+07
350000,9.11E+07
340000,8.84E+07
370000,9.64E+07
360000,9.38E+07
380000,9.90E+07
390000,1.02E+08
400000,1.04E+08
420000,1.09E+08
410000,1.07E+08
430000,1.12E+08
440000,1.15E+08
450000,1.17E+08
460000,1.20E+08
470000,1.23E+08
510000,1.33E+08
490000,1.28E+08
480000,1.25E+08
500000,1.31E+08
530000,1.39E+08
540000,1.43E+08
520000,1.37E+08
550000,146300000
580000,157760000
560000,149520000
570000,153900000
590000,163430000
610000,176290000
600000,168000000
620000,187240000
630000,204750000
640000,233600000
650000,255450000
660000,287100000
670000,343040000
690000,427800000
680000,395080000
700000,434000000
710000,440200000
740000,458800000
720000,446400000
730000,452600000
750000,465000000
760000,471200000
770000,477400000
780000,483600000
790000,489800000
800000,496000000
810000,502200000
820000,508400000
830000,514600000
840000,520800000
850000,527000000
860000,533200000
870000,539400000
890000,551800000
880000,545600000
900000,558000000
910000,564200000
920000,570400000
930000,576600000
940000,582800000
950000,589000000
960000,595200000
970000,601400000
980000,607600000
990000,613800000
1000000,620000000
