Subsidy_percentage,OBJECTIVE
0.03,1.68E+07
0.01,1.61E+07
0.02,1.63E+07
0,1.56E+07
0.04,1.70E+07
0.06,1.78E+07
0.05,1.75E+07
0.07,1.84E+07
0.09,1.95E+07
0.08,1.89E+07
0.1,2.03E+07
0.11,2.09E+07
0.12,2.15E+07
0.13,2.20E+07
0.14,2.26E+07
0.15,2.33E+07
0.16,2.40E+07
0.17,2.47E+07
0.18,2.55E+07
0.19,2.61E+07
0.2,2.69E+07
0.21,2.76E+07
0.22,2.82E+07
0.23,2.89E+07
0.24,2.95E+07
0.25,3.01E+07
0.26,3.07E+07
0.27,3.15E+07
0.28,3.21E+07
0.29,3.28E+07
0.3,3.35E+07
0.31,3.44E+07
0.32,3.49E+07
0.33,3.56E+07
0.34,3.64E+07
0.35,3.72E+07
0.36,3.80E+07
0.37,3.88E+07
0.38,3.95E+07
0.39,4.02E+07
0.4,4.09E+07
0.41,4.15E+07
0.42,4.23E+07
0.43,4.29E+07
0.44,4.36E+07
0.45,4.42E+07
0.47,4.57E+07
0.46,4.49E+07
0.48,4.63E+07
0.49,4.69E+07
0.5,4.77E+07
0.51,4.84E+07
0.52,4.92E+07
0.53,5.00E+07
0.54,5.08E+07
0.55,5.16E+07
0.56,5.23E+07
0.57,5.31E+07
0.58,5.39E+07
0.59,5.47E+07
0.6,5.54E+07
0.61,5.63E+07
0.62,5.70E+07
0.63,5.77E+07
0.64,5.85E+07
0.65,5.93E+07
0.66,6.01E+07
0.67,6.09E+07
0.68,6.17E+07
0.69,6.26E+07
0.7,6.34E+07
0.71,6.42E+07
0.72,6.50E+07
0.73,6.59E+07
0.74,6.67E+07
0.75,6.76E+07
0.76,6.84E+07
0.77,6.93E+07
0.78,7.01E+07
0.79,7.09E+07
0.8,7.18E+07
0.81,7.26E+07
0.82,7.35E+07
0.83,7.43E+07
0.84,7.51E+07
0.85,7.60E+07
0.86,7.68E+07
0.87,7.77E+07
0.88,7.85E+07
0.89,7.93E+07
0.9,8.03E+07
0.91,8.12E+07
0.92,8.21E+07
0.93,8.30E+07
0.94,8.39E+07
0.95,8.48E+07
0.96,8.57E+07
0.98,8.76E+07
0.97,8.67E+07
0.99,8.84E+07
1,8.93E+07
