Subsidy,OBJECTIVE
0,1.10E+09
1000,1.10E+09
2000,1.10E+09
3000,1.10E+09
5000,1.09E+09
4000,1.10E+09
6000,1.09E+09
7000,1.09E+09
8000,1.09E+09
9000,1.09E+09
10000,1.08E+09
11000,1.08E+09
12000,1.08E+09
13000,1.08E+09
15000,1.08E+09
14000,1.08E+09
16000,1.07E+09
17000,1.07E+09
18000,1.07E+09
19000,1.07E+09
20000,1.07E+09
21000,1.07E+09
22000,1.06E+09
23000,1.06E+09
24000,1.06E+09
25000,1.06E+09
26000,1.06E+09
27000,1.06E+09
28000,1.05E+09
29000,1.05E+09
30000,1.05E+09
31000,1.05E+09
32000,1.05E+09
33000,1.05E+09
34000,1.04E+09
35000,1.04E+09
36000,1.04E+09
37000,1.04E+09
38000,1.03E+09
39000,1.03E+09
40000,1.03E+09
41000,1.03E+09
42000,1.03E+09
43000,1.02E+09
44000,1.02E+09
45000,1.02E+09
46000,1.02E+09
47000,1.02E+09
48000,1.02E+09
49000,1.01E+09
50000,1.01E+09
51000,1.01E+09
52000,1.01E+09
53000,1.01E+09
54000,1.00E+09
55000,1.00E+09
56000,1.00E+09
57000,9.98E+08
58000,9.97E+08
59000,9.96E+08
60000,9.94E+08
61000,9.92E+08
62000,9.90E+08
63000,9.88E+08
64000,9.86E+08
65000,9.84E+08
66000,9.82E+08
67000,9.81E+08
68000,9.79E+08
69000,9.77E+08
70000,9.75E+08
71000,9.73E+08
72000,9.71E+08
73000,9.70E+08
74000,9.68E+08
75000,9.67E+08
76000,9.65E+08
77000,9.63E+08
78000,9.61E+08
79000,9.59E+08
81000,9.56E+08
80000,9.57E+08
82000,9.54E+08
83000,9.52E+08
85000,9.49E+08
84000,9.51E+08
86000,9.47E+08
87000,9.45E+08
88000,9.43E+08
89000,9.42E+08
90000,9.40E+08
91000,9.38E+08
92000,9.37E+08
93000,9.35E+08
94000,9.33E+08
95000,9.31E+08
96000,9.29E+08
97000,9.28E+08
98000,9.25E+08
99000,9.24E+08
100000,9.22E+08
101000,9.20E+08
102000,9.18E+08
103000,9.16E+08
104000,9.14E+08
105000,9.12E+08
106000,9.10E+08
107000,9.08E+08
108000,9.06E+08
109000,9.05E+08
110000,9.03E+08
111000,9.01E+08
112000,9.00E+08
113000,8.98E+08
114000,8.96E+08
115000,8.95E+08
116000,8.93E+08
117000,8.91E+08
118000,8.90E+08
119000,8.88E+08
120000,8.86E+08
121000,8.84E+08
122000,8.82E+08
123000,8.80E+08
124000,8.79E+08
125000,8.77E+08
126000,8.75E+08
127000,8.73E+08
128000,8.71E+08
129000,8.69E+08
130000,8.68E+08
131000,8.66E+08
132000,8.64E+08
133000,8.62E+08
134000,8.61E+08
135000,8.59E+08
136000,8.57E+08
137000,8.55E+08
138000,8.53E+08
139000,8.52E+08
140000,8.50E+08
141000,8.48E+08
142000,8.47E+08
143000,8.45E+08
144000,8.43E+08
145000,8.41E+08
146000,8.39E+08
147000,8.38E+08
148000,8.36E+08
149000,8.35E+08
150000,8.33E+08
151000,8.31E+08
152000,8.30E+08
153000,8.28E+08
154000,8.27E+08
156000,8.23E+08
155000,8.25E+08
157000,8.22E+08
158000,8.20E+08
159000,8.19E+08
160000,8.17E+08
161000,8.15E+08
162000,8.13E+08
163000,8.12E+08
164000,8.09E+08
165000,8.08E+08
167000,8.04E+08
166000,8.06E+08
168000,8.02E+08
169000,8.00E+08
170000,7.98E+08
171000,7.97E+08
172000,7.96E+08
173000,7.95E+08
174000,7.93E+08
175000,7.92E+08
176000,7.90E+08
177000,7.89E+08
178000,7.87E+08
179000,7.86E+08
180000,7.84E+08
181000,7.83E+08
182000,7.81E+08
183000,7.79E+08
184000,7.78E+08
185000,7.76E+08
186000,7.75E+08
187000,7.73E+08
188000,7.71E+08
189000,7.69E+08
190000,7.68E+08
191000,7.66E+08
193000,7.62E+08
192000,7.64E+08
194000,7.60E+08
195000,7.59E+08
196000,7.57E+08
197000,7.55E+08
198000,7.54E+08
199000,7.52E+08
200000,7.50E+08
201000,7.49E+08
202000,7.46E+08
203000,7.45E+08
204000,7.43E+08
205000,7.41E+08
206000,7.40E+08
207000,7.39E+08
208000,7.37E+08
209000,7.35E+08
210000,7.33E+08
211000,7.31E+08
212000,7.30E+08
213000,7.28E+08
214000,7.27E+08
215000,7.26E+08
216000,7.24E+08
217000,7.22E+08
218000,7.21E+08
219000,7.21E+08
220000,7.18E+08
221000,7.17E+08
222000,7.16E+08
223000,7.14E+08
224000,7.12E+08
225000,7.11E+08
226000,7.09E+08
227000,7.08E+08
228000,7.06E+08
229000,7.05E+08
230000,7.02E+08
231000,7.01E+08
