Subsidy,OBJECTIVE
0,8.00E+07
20000,8.10E+07
40000,8.18E+07
60000,8.25E+07
80000,8.44E+07
100000,8.62E+07
120000,8.73E+07
140000,8.87E+07
160000,9.05E+07
180000,9.29E+07
200000,9.42E+07
220000,9.59E+07
240000,9.87E+07
260000,1.01E+08
280000,1.04E+08
300000,1.06E+08
320000,1.09E+08
340000,1.11E+08
360000,1.14E+08
380000,1.17E+08
400000,1.20E+08
420000,1.23E+08
440000,1.26E+08
460000,1.30E+08
480000,1.34E+08
500000,1.38E+08
520000,1.40E+08
540000,1.44E+08
560000,1.49E+08
580000,1.53E+08
600000,1.57E+08
620000,1.62E+08
640000,1.67E+08
660000,1.71E+08
680000,1.76E+08
700000,1.80E+08
720000,1.85E+08
740000,1.90E+08
760000,1.96E+08
780000,2.01E+08
800000,2.06E+08
820000,2.12E+08
840000,2.17E+08
860000,2.23E+08
880000,2.29E+08
900000,2.34E+08
920000,2.39E+08
940000,2.45E+08
960000,2.51E+08
980000,2.56E+08
1000000,2.61E+08
