Year,OBJECTIVE
0,0
1,0
2,0
3,2394601.53
4,5548597.109
5,7775702.598
6,8317986.876
7,1.02E+07
8,1.14E+07
9,1.41E+07
10,1.53E+07
11,1.56E+07
12,1.56E+07
13,1.56E+07
14,1.56E+07
15,1.56E+07
16,1.56E+07
17,1.56E+07
18,1.56E+07
19,1.56E+07
20,1.56E+07
21,1.56E+07
22,1.56E+07
23,1.56E+07
24,1.56E+07
25,1.56E+07
26,1.56E+07
27,1.56E+07
28,1.56E+07
29,1.56E+07
30,1.56E+07
31,1.56E+07
32,1.56E+07
33,1.56E+07
34,1.56E+07
35,1.56E+07
36,1.56E+07
37,1.56E+07
38,1.56E+07
39,1.56E+07
40,1.56E+07
41,1.56E+07
42,1.56E+07
43,1.56E+07
44,1.56E+07
45,1.56E+07
46,1.56E+07
47,1.56E+07
48,1.56E+07
49,1.56E+07
50,1.56E+07
51,1.56E+07
52,1.56E+07
53,1.56E+07
54,1.56E+07
55,1.56E+07
56,1.56E+07
57,1.56E+07
58,1.56E+07
59,1.56E+07
60,1.56E+07
61,1.56E+07
62,1.56E+07
63,1.56E+07
64,1.56E+07
65,1.56E+07
66,1.56E+07
67,1.56E+07
68,1.56E+07
69,1.56E+07
70,1.56E+07
71,1.56E+07
72,1.56E+07
73,1.56E+07
74,1.56E+07
75,1.56E+07
76,1.56E+07
77,1.56E+07
78,1.56E+07
79,1.56E+07
80,1.56E+07
81,1.56E+07
