Year,OBJECTIVE
0,0
1,80400000
2,9.13E+07
3,1.02E+08
4,1.04E+08
5,1.04E+08
6,1.04E+08
7,1.04E+08
8,1.04E+08
9,1.04E+08
10,1.04E+08
11,1.04E+08
12,1.04E+08
13,1.04E+08
14,1.04E+08
15,1.04E+08
16,1.04E+08
17,1.04E+08
18,1.04E+08
19,1.04E+08
20,1.04E+08
21,1.04E+08
22,1.04E+08
23,1.04E+08
24,1.04E+08
25,1.04E+08
26,1.04E+08
27,1.04E+08
28,1.04E+08
29,1.04E+08
30,1.04E+08
31,1.04E+08
32,1.04E+08
33,1.04E+08
34,1.04E+08
35,1.04E+08
36,1.04E+08
37,1.04E+08
38,1.04E+08
39,1.04E+08
40,1.04E+08
41,1.04E+08
42,1.04E+08
43,1.04E+08
44,1.04E+08
45,1.04E+08
46,1.04E+08
47,1.04E+08
48,1.04E+08
49,1.04E+08
50,1.04E+08
51,1.04E+08
52,1.04E+08
53,1.04E+08
54,1.04E+08
55,1.04E+08
56,1.04E+08
57,1.04E+08
58,1.04E+08
59,1.04E+08
60,1.04E+08
61,1.04E+08
62,1.04E+08
63,1.04E+08
64,1.04E+08
65,1.04E+08
66,1.04E+08
67,1.04E+08
68,1.04E+08
69,1.04E+08
70,1.04E+08
71,1.04E+08
72,1.04E+08
73,1.04E+08
74,1.04E+08
75,1.04E+08
76,1.04E+08
77,1.04E+08
78,1.04E+08
79,1.04E+08
80,1.04E+08
81,1.04E+08
