Subsidy,OBJECTIVE
0,2.18E+09
20000,2.14E+09
10000,2.16E+09
30000,2.12E+09
50000,2.08E+09
60000,2.06E+09
40000,2.10E+09
70000,2.04E+09
80000,2.02E+09
90000,1.99E+09
100000,1.97E+09
110000,1.95E+09
130000,1.91E+09
120000,1.93E+09
140000,1.88E+09
150000,1.87E+09
160000,1.84E+09
180000,1.80E+09
170000,1.82E+09
190000,1.78E+09
200000,1.76E+09
210000,1.74E+09
220000,1.72E+09
230000,1.70E+09
250000,1.66E+09
240000,1.68E+09
260000,1.64E+09
270000,1.62E+09
290000,1.58E+09
280000,1.60E+09
300000,1.56E+09
310000,1.54E+09
320000,1.52E+09
330000,1.50E+09
340000,1.48E+09
350000,1.46E+09
360000,1.44E+09
370000,1.42E+09
380000,1.40E+09
390000,1.38E+09
410000,1.34E+09
400000,1.36E+09
420000,1.32E+09
430000,1.30E+09
440000,1.28E+09
450000,1.27E+09
460000,1.25E+09
470000,1.23E+09
490000,1.19E+09
480000,1.21E+09
500000,1.17E+09
510000,1.16E+09
530000,1.12E+09
520000,1.14E+09
540000,1.10E+09
550000,1.09E+09
560000,1.07E+09
570000,1.05E+09
580000,1.03E+09
590000,1.02E+09
610000,9.80E+08
600000,9.98E+08
620000,9.64E+08
630000,9.46E+08
640000,9.29E+08
650000,9.12E+08
660000,8.97E+08
670000,8.80E+08
680000,8.66E+08
690000,8.51E+08
700000,8.34E+08
710000,8.18E+08
720000,8.04E+08
730000,7.88E+08
740000,7.75E+08
750000,7.60E+08
760000,7.44E+08
770000,7.30E+08
780000,7.16E+08
790000,7.03E+08
800000,6.90E+08
810000,6.77E+08
820000,6.64E+08
830000,6.52E+08
840000,6.39E+08
850000,6.27E+08
860000,6.15E+08
870000,6.04E+08
880000,5.92E+08
890000,5.83E+08
900000,5.72E+08
910000,5.62E+08
920000,5.54E+08
930000,5.43E+08
940000,5.35E+08
950000,5.27E+08
960000,5.20E+08
970000,5.13E+08
990000,5.01E+08
980000,5.07E+08
1000000,4.96E+08
