Subsidy,OBJECTIVE
0,1.23E+08
1000,1.23E+08
2000,1.23E+08
3000,1.22E+08
4000,1.22E+08
5000,1.22E+08
6000,1.22E+08
7000,1.22E+08
8000,1.22E+08
9000,1.21E+08
10000,1.21E+08
11000,1.21E+08
12000,1.21E+08
13000,1.21E+08
14000,1.20E+08
15000,1.20E+08
16000,1.20E+08
17000,1.20E+08
18000,1.20E+08
19000,1.20E+08
20000,1.20E+08
21000,1.20E+08
22000,1.20E+08
23000,1.20E+08
24000,1.20E+08
25000,1.20E+08
26000,1.20E+08
27000,1.20E+08
28000,1.20E+08
29000,1.20E+08
30000,1.20E+08
31000,1.20E+08
32000,1.21E+08
33000,1.21E+08
34000,1.21E+08
35000,1.21E+08
36000,1.21E+08
37000,1.21E+08
38000,1.21E+08
39000,1.21E+08
40000,1.21E+08
41000,1.21E+08
42000,1.22E+08
43000,1.22E+08
44000,1.22E+08
45000,1.22E+08
46000,1.22E+08
47000,1.22E+08
48000,1.23E+08
49000,1.23E+08
50000,1.23E+08
