Subsidy,OBJECTIVE
0,1.56E+07
100,1.56E+07
300,1.56E+07
200,1.56E+07
500,1.56E+07
400,1.56E+07
600,1.56E+07
700,1.56E+07
900,1.56E+07
800,1.56E+07
1100,1.56E+07
1000,1.56E+07
1200,1.56E+07
1300,1.56E+07
1500,1.56E+07
1400,1.56E+07
1600,1.56E+07
1700,1.56E+07
1800,1.56E+07
1900,1.56E+07
2100,1.56E+07
2000,1.56E+07
2200,1.56E+07
2300,1.56E+07
2500,1.56E+07
2400,1.56E+07
2600,1.56E+07
2700,1.55E+07
2800,1.55E+07
2900,1.55E+07
3100,1.53E+07
3000,1.56E+07
3200,1.53E+07
3300,1.53E+07
3500,1.53E+07
3400,1.53E+07
3600,1.53E+07
3700,1.53E+07
3900,1.53E+07
3800,1.53E+07
4000,1.53E+07
4100,1.53E+07
4300,1.53E+07
4200,1.53E+07
4400,1.53E+07
4600,1.53E+07
4500,1.53E+07
4700,1.53E+07
4800,1.53E+07
4900,1.53E+07
5000,1.50E+07
5100,1.50E+07
5200,1.50E+07
5400,1.51E+07
5300,1.51E+07
5500,1.51E+07
5600,1.51E+07
5800,1.51E+07
5700,1.51E+07
5900,1.51E+07
6000,1.50E+07
6100,1.50E+07
6300,1.50E+07
6200,1.50E+07
6400,1.50E+07
6500,1.50E+07
6600,1.50E+07
6700,1.50E+07
6800,1.50E+07
6900,1.50E+07
7000,1.50E+07
7100,1.50E+07
7200,1.50E+07
7300,1.50E+07
7500,1.49E+07
7400,1.49E+07
7700,1.49E+07
7600,1.49E+07
7800,1.48E+07
7900,1.48E+07
8000,1.48E+07
8100,1.48E+07
8200,1.48E+07
8300,1.47E+07
8400,1.47E+07
8500,1.48E+07
8600,1.48E+07
8700,1.48E+07
8800,1.48E+07
8900,1.47E+07
9000,1.47E+07
9100,1.47E+07
9200,1.47E+07
9300,1.47E+07
9400,1.47E+07
9500,1.47E+07
9600,1.47E+07
9700,1.47E+07
9800,1.47E+07
9900,1.47E+07
10000,1.47E+07
10100,1.47E+07
10200,1.46E+07
10300,1.47E+07
10400,1.47E+07
10500,1.47E+07
10600,1.47E+07
10700,1.47E+07
10800,1.47E+07
10900,1.47E+07
11000,1.47E+07
11100,1.47E+07
11200,1.47E+07
11300,1.47E+07
11400,1.47E+07
11500,1.47E+07
11600,1.47E+07
11700,1.47E+07
11800,1.47E+07
11900,1.47E+07
12000,1.47E+07
12100,1.47E+07
12200,1.47E+07
12300,1.47E+07
12400,1.47E+07
12500,1.47E+07
12600,1.48E+07
12700,1.48E+07
12800,1.48E+07
12900,1.48E+07
13000,1.48E+07
13100,1.48E+07
13200,1.48E+07
13300,1.48E+07
13400,1.46E+07
13500,1.46E+07
13600,1.46E+07
13700,1.45E+07
13800,1.46E+07
13900,1.46E+07
14000,1.46E+07
14100,1.46E+07
14200,1.46E+07
14300,1.46E+07
14400,1.45E+07
14500,1.45E+07
14600,1.45E+07
14700,1.45E+07
14800,1.45E+07
14900,1.45E+07
15000,1.45E+07
15100,1.45E+07
15200,1.45E+07
15300,1.45E+07
15400,1.45E+07
15500,1.46E+07
15600,1.46E+07
15700,1.46E+07
15800,1.46E+07
15900,1.46E+07
16000,1.46E+07
16100,1.46E+07
16200,1.46E+07
16300,1.46E+07
16400,1.46E+07
16500,1.46E+07
16600,1.46E+07
16700,1.46E+07
16800,1.46E+07
16900,1.46E+07
17000,1.46E+07
17100,1.46E+07
17200,1.46E+07
17300,1.44E+07
17400,1.45E+07
17500,1.45E+07
17600,1.45E+07
17700,1.45E+07
17800,1.45E+07
17900,1.45E+07
18000,1.45E+07
18100,1.45E+07
18200,1.45E+07
18300,1.45E+07
18400,1.45E+07
18500,1.45E+07
18600,1.45E+07
18700,1.45E+07
18800,1.46E+07
18900,1.46E+07
19000,1.46E+07
19100,1.46E+07
19300,1.46E+07
19200,1.46E+07
19400,1.46E+07
19500,1.46E+07
19700,1.46E+07
19600,1.46E+07
19800,1.47E+07
19900,1.47E+07
20100,1.47E+07
20000,1.47E+07
20200,1.47E+07
20300,1.47E+07
20400,1.47E+07
20500,1.48E+07
20600,1.48E+07
20700,1.48E+07
20800,1.48E+07
20900,1.48E+07
21000,1.48E+07
21100,1.48E+07
21200,1.48E+07
21300,1.48E+07
21400,1.48E+07
21500,1.48E+07
21600,1.48E+07
21700,1.48E+07
21800,1.48E+07
