Subsidy,OBJECTIVE
0,1.52E+09
3000,1.52E+09
1000,1.52E+09
2000,1.52E+09
4000,1.51E+09
5000,1.51E+09
6000,1.51E+09
7000,1.51E+09
11000,1.50E+09
8000,1.51E+09
10000,1.50E+09
9000,1.50E+09
12000,1.50E+09
14000,1.50E+09
13000,1.50E+09
15000,1.50E+09
16000,1.49E+09
17000,1.49E+09
18000,1.49E+09
19000,1.49E+09
20000,1.49E+09
21000,1.49E+09
23000,1.49E+09
22000,1.49E+09
24000,1.49E+09
25000,1.49E+09
26000,1.49E+09
27000,1.48E+09
28000,1.48E+09
29000,1.48E+09
30000,1.48E+09
31000,1.48E+09
33000,1.48E+09
32000,1.48E+09
34000,1.48E+09
35000,1.48E+09
36000,1.48E+09
37000,1.48E+09
38000,1.48E+09
39000,1.48E+09
40000,1.48E+09
41000,1.48E+09
42000,1.48E+09
43000,1.48E+09
44000,1.48E+09
45000,1.48E+09
46000,1.48E+09
47000,1.48E+09
48000,1.49E+09
49000,1.49E+09
50000,1.49E+09
