Subsidy,OBJECTIVE
0,8.00E+07
1000,7.99E+07
2000,7.98E+07
3000,7.97E+07
4000,7.92E+07
5000,7.92E+07
6000,7.93E+07
7000,7.93E+07
8000,7.91E+07
9000,7.90E+07
10000,7.91E+07
11000,7.91E+07
12000,7.89E+07
13000,7.88E+07
14000,7.90E+07
15000,7.88E+07
16000,7.88E+07
17000,7.87E+07
18000,7.86E+07
19000,7.84E+07
20000,7.82E+07
21000,7.83E+07
22000,7.82E+07
23000,7.83E+07
24000,7.81E+07
25000,7.83E+07
26000,7.84E+07
27000,7.82E+07
28000,7.83E+07
29000,7.84E+07
30000,7.84E+07
31000,7.85E+07
32000,7.85E+07
33000,7.83E+07
34000,7.86E+07
35000,7.87E+07
36000,7.89E+07
37000,7.91E+07
38000,7.98E+07
39000,8.00E+07
40000,8.01E+07
41000,8.03E+07
42000,8.05E+07
43000,8.07E+07
44000,8.08E+07
45000,8.08E+07
46000,8.11E+07
47000,8.12E+07
48000,8.14E+07
49000,8.17E+07
50000,8.20E+07
