Subsidy,OBJECTIVE
2000,2.15E+07
0,1.56E+07
3000,2.44E+07
1000,1.86E+07
6000,3.27E+07
4000,2.71E+07
5000,2.98E+07
7000,3.56E+07
8000,3.82E+07
9000,4.10E+07
10000,4.39E+07
11000,4.68E+07
12000,4.97E+07
13000,5.27E+07
14000,5.53E+07
15000,5.80E+07
16000,6.10E+07
17000,6.38E+07
18000,6.66E+07
19000,6.94E+07
20000,7.22E+07
21000,7.51E+07
22000,7.80E+07
23000,8.09E+07
24000,8.38E+07
25000,8.66E+07
26000,8.95E+07
27000,9.24E+07
28000,9.53E+07
29000,9.82E+07
30000,1.01E+08
31000,1.04E+08
32000,1.07E+08
33000,1.10E+08
34000,1.13E+08
35000,1.16E+08
36000,1.18E+08
37000,1.21E+08
38000,1.24E+08
39000,1.27E+08
40000,1.30E+08
41000,1.33E+08
42000,1.36E+08
43000,1.39E+08
45000,1.45E+08
44000,1.42E+08
46000,1.48E+08
47000,1.51E+08
49000,1.56E+08
48000,1.53E+08
50000,1.59E+08
