Subsidy,OBJECTIVE
20000,1.23E+08
40000,1.23E+08
60000,1.23E+08
0,1.23E+08
120000,1.24E+08
100000,1.25E+08
80000,1.24E+08
140000,1.25E+08
200000,1.25E+08
160000,1.25E+08
180000,1.26E+08
220000,1.27E+08
280000,1.30E+08
240000,1.28E+08
260000,1.28E+08
300000,1.32E+08
320000,1.33E+08
380000,1.39E+08
360000,1.37E+08
340000,1.35E+08
400000,1.41E+08
420000,1.43E+08
440000,1.46E+08
460000,1.48E+08
480000,1.51E+08
520000,1.57E+08
500000,1.54E+08
540000,1.59E+08
580000,1.65E+08
560000,1.62E+08
600000,1.68E+08
620000,1.71E+08
660000,1.79E+08
640000,1.75E+08
680000,1.83E+08
700000,1.86E+08
720000,1.90E+08
740000,1.94E+08
760000,1.98E+08
780000,2.02E+08
800000,2.07E+08
820000,2.12E+08
860000,2.21E+08
840000,2.16E+08
900000,2.31E+08
880000,2.26E+08
920000,2.36E+08
940000,2.41E+08
960000,2.47E+08
980000,2.52E+08
1000000,2.57E+08
