Subsidy,OBJECTIVE
60000,1.88E+08
0,1.56E+07
40000,1.30E+08
20000,7.22E+07
80000,2.47E+08
100000,3.05E+08
140000,4.23E+08
120000,3.64E+08
160000,4.81E+08
180000,5.40E+08
200000,5.99E+08
220000,6.58E+08
240000,7.17E+08
280000,8.36E+08
260000,7.76E+08
300000,8.95E+08
320000,9.55E+08
360000,1.07E+09
340000,1.01E+09
380000,1.13E+09
400000,1.19E+09
420000,1.25E+09
440000,1.31E+09
460000,1.37E+09
480000,1.43E+09
500000,1.49E+09
520000,1.55E+09
540000,1.61E+09
560000,1.68E+09
580000,1.74E+09
600000,1.80E+09
620000,1.88E+09
640000,1.98E+09
660000,2085600000
680000,2248080000
700000,2386300000
740000,2693600000
720000,2540160000
760000,2872040000
780000,3077100000
800000,3319200000
820000,3496480000
840000,3713640000
860000,3930200000
880000,4156240000
900000,4370400000
920000,4597240000
940000,4836300000
960000,5072640000
980000,5297880000
1000000,5506000000
