Subsidy,OBJECTIVE
0,1.23E+08
20000,1.20E+08
40000,1.21E+08
60000,1.26E+08
80000,1.38E+08
100000,1.48E+08
120000,1.63E+08
140000,1.81E+08
160000,2.02E+08
180000,2.23E+08
200000,2.48E+08
220000,2.76E+08
240000,3.10E+08
260000,3.41E+08
280000,3.79E+08
300000,4.13E+08
320000,4.50E+08
340000,4.88E+08
360000,5.32E+08
380000,5.75E+08
400000,6.20E+08
420000,6.63E+08
440000,7.06E+08
460000,7.46E+08
480000,7.88E+08
500000,8.29E+08
520000,8.70E+08
540000,9.02E+08
560000,9.47E+08
580000,9.90E+08
600000,1.02E+09
620000,1.06E+09
640000,1.09E+09
660000,1.12E+09
680000,1.16E+09
700000,1.19E+09
720000,1.22E+09
740000,1.25E+09
760000,1.29E+09
780000,1.32E+09
800000,1.35E+09
820000,1.39E+09
840000,1.42E+09
860000,1.45E+09
880000,1.49E+09
900000,1.52E+09
920000,1.56E+09
940000,1.59E+09
960000,1.62E+09
980000,1.66E+09
1000000,1.69E+09
