Subsidy,OBJECTIVE
0,3.53E+07
20000,3.45E+07
40000,3.64E+07
60000,4.26E+07
80000,5.23E+07
100000,6.35E+07
120000,7.89E+07
140000,9.40E+07
160000,1.10E+08
180000,1.26E+08
200000,1.45E+08
220000,1.64E+08
240000,1.83E+08
260000,2.00E+08
280000,2.16E+08
300000,2.32E+08
320000,2.46E+08
340000,2.61E+08
360000,2.75E+08
380000,2.90E+08
400000,3.07E+08
420000,3.23E+08
440000,3.38E+08
460000,3.54E+08
480000,3.70E+08
500000,3.86E+08
520000,4.02E+08
540000,4.18E+08
560000,4.35E+08
580000,4.50E+08
600000,4.66E+08
620000,4.82E+08
640000,4.98E+08
660000,5.13E+08
680000,5.29E+08
700000,5.45E+08
720000,5.61E+08
740000,5.78E+08
760000,5.96E+08
780000,6.15E+08
800000,6.38E+08
820000,671560000
840000,7.41E+08
860000,818720000
880000,966240000
900000,1080900000
920000,1214400000
940000,1346080000
960000,1508160000
980000,1702260000
1000000,1941000000
