Subsidy,OBJECTIVE
0,2.18E+09
20000,2.15E+09
40000,2.13E+09
60000,2.13E+09
80000,2.15E+09
100000,2.15E+09
120000,2.16E+09
140000,2.17E+09
160000,2.18E+09
180000,2.19E+09
200000,2.20E+09
220000,2.21E+09
240000,2.22E+09
260000,2.23E+09
280000,2.24E+09
300000,2.26E+09
320000,2.27E+09
340000,2.28E+09
360000,2.29E+09
380000,2.31E+09
400000,2.32E+09
420000,2.34E+09
440000,2.35E+09
460000,2.38E+09
480000,2.39E+09
500000,2.41E+09
520000,2.43E+09
540000,2.46E+09
560000,2.48E+09
580000,2.50E+09
600000,2.53E+09
620000,2.56E+09
640000,2.58E+09
660000,2.61E+09
680000,2.65E+09
700000,2.68E+09
720000,2.71E+09
740000,2.75E+09
760000,2.79E+09
780000,2.83E+09
800000,2.87E+09
820000,2.92E+09
840000,2.96E+09
860000,3.01E+09
880000,3.06E+09
900000,3.12E+09
920000,3.18E+09
940000,3.24E+09
960000,3.30E+09
980000,3.37E+09
1000000,3.44E+09
