Subsidy,OBJECTIVE
0,2.18E+09
10000,2.16E+09
20000,2.15E+09
30000,2.14E+09
40000,2.13E+09
50000,2.13E+09
60000,2.13E+09
70000,2.14E+09
80000,2.15E+09
90000,2.15E+09
100000,2.15E+09
110000,2.16E+09
120000,2.16E+09
130000,2.17E+09
140000,2.17E+09
150000,2.18E+09
160000,2.18E+09
170000,2.19E+09
180000,2.19E+09
190000,2.20E+09
200000,2.20E+09
210000,2.21E+09
220000,2.21E+09
230000,2.22E+09
240000,2.22E+09
250000,2.23E+09
260000,2.23E+09
270000,2.24E+09
280000,2.24E+09
290000,2.25E+09
300000,2.26E+09
310000,2.26E+09
320000,2.27E+09
330000,2.27E+09
340000,2.28E+09
350000,2.29E+09
360000,2.29E+09
370000,2.30E+09
380000,2.31E+09
390000,2.32E+09
400000,2.32E+09
410000,2.33E+09
420000,2.34E+09
430000,2.35E+09
440000,2.35E+09
450000,2.36E+09
460000,2.38E+09
470000,2.39E+09
480000,2.39E+09
490000,2.40E+09
500000,2.41E+09
510000,2.42E+09
520000,2.43E+09
530000,2.45E+09
540000,2.46E+09
550000,2.47E+09
560000,2.48E+09
570000,2.49E+09
580000,2.50E+09
590000,2.52E+09
600000,2.53E+09
610000,2.54E+09
620000,2.56E+09
630000,2.57E+09
640000,2.58E+09
650000,2.60E+09
660000,2.61E+09
670000,2.63E+09
680000,2.65E+09
690000,2.66E+09
700000,2.68E+09
710000,2.70E+09
720000,2.71E+09
730000,2.73E+09
740000,2.75E+09
750000,2.77E+09
760000,2.79E+09
770000,2.81E+09
780000,2.83E+09
790000,2.85E+09
800000,2.87E+09
810000,2.89E+09
820000,2.92E+09
830000,2.94E+09
840000,2.96E+09
850000,2.99E+09
860000,3.01E+09
870000,3.04E+09
880000,3.06E+09
890000,3.09E+09
900000,3.12E+09
910000,3.15E+09
920000,3.18E+09
930000,3.21E+09
940000,3.24E+09
950000,3.27E+09
960000,3.30E+09
970000,3.33E+09
980000,3.37E+09
990000,3.40E+09
1000000,3.44E+09
