Subsidy_percentage,OBJECTIVE
0.01,1.06E+08
0.0101,1.06E+08
0.0102,1.06E+08
0.0103,1.06E+08
0.0104,1.06E+08
0.0105,1.06E+08
0.0106,1.06E+08
0.0107,1.06E+08
0.0108,1.06E+08
0.0109,1.06E+08
0.011,1.06E+08
0.0111,1.06E+08
0.0112,1.06E+08
0.0113,1.06E+08
0.0114,1.06E+08
0.0115,1.06E+08
0.0116,1.06E+08
0.0117,1.06E+08
0.0118,1.06E+08
0.0119,1.06E+08
0.012,1.06E+08
0.0121,1.06E+08
0.0122,1.06E+08
0.0123,1.06E+08
0.0124,1.06E+08
0.0125,1.06E+08
0.0126,1.06E+08
0.0127,1.06E+08
0.0128,1.06E+08
0.0129,1.06E+08
0.013,1.06E+08
0.0131,1.06E+08
0.0132,1.06E+08
0.0133,1.06E+08
0.0134,1.06E+08
0.0135,1.06E+08
0.0136,1.06E+08
0.0137,1.06E+08
0.0138,1.06E+08
0.0139,1.06E+08
0.014,1.06E+08
0.0141,1.06E+08
0.0142,1.06E+08
0.0143,1.06E+08
0.0144,1.06E+08
0.0145,1.06E+08
0.0146,1.06E+08
0.0147,1.06E+08
0.0148,1.06E+08
0.0149,1.06E+08
0.015,1.06E+08
0.0151,1.06E+08
0.0152,1.06E+08
0.0153,1.06E+08
0.0154,1.06E+08
0.0155,1.06E+08
0.0156,1.06E+08
0.0157,1.06E+08
0.0158,1.06E+08
0.0159,1.06E+08
0.016,1.06E+08
0.0161,1.06E+08
0.0162,1.06E+08
0.0163,1.06E+08
0.0164,1.06E+08
0.0165,1.06E+08
0.0166,1.06E+08
0.0167,1.06E+08
0.0168,1.06E+08
0.0169,1.06E+08
0.017,1.06E+08
0.0171,1.06E+08
0.0172,1.06E+08
0.0173,1.06E+08
0.0174,1.06E+08
0.0175,1.06E+08
0.0176,1.06E+08
0.0177,1.06E+08
0.0178,1.06E+08
0.0179,1.06E+08
0.018,1.06E+08
0.0181,1.06E+08
0.0182,1.06E+08
0.0183,1.06E+08
0.0184,1.06E+08
0.0185,1.06E+08
0.0186,1.06E+08
0.0187,1.06E+08
0.0188,1.06E+08
0.0189,1.06E+08
0.019,1.06E+08
0.0191,1.06E+08
0.0192,1.06E+08
0.0193,1.06E+08
0.0194,1.06E+08
0.0195,1.06E+08
0.0196,1.06E+08
0.0197,1.06E+08
0.0198,1.06E+08
0.0199,1.06E+08
0.02,1.06E+08
0.0201,1.06E+08
0.0202,1.06E+08
0.0203,1.06E+08
0.0204,1.06E+08
0.0205,1.06E+08
0.0206,1.06E+08
0.0207,1.06E+08
0.0208,1.06E+08
0.0209,1.06E+08
0.021,1.06E+08
0.0211,1.06E+08
0.0212,1.06E+08
0.0213,1.06E+08
0.0214,1.06E+08
0.0215,1.06E+08
0.0216,1.06E+08
0.0217,1.06E+08
0.0218,1.06E+08
0.0219,1.06E+08
0.022,1.06E+08
0.0221,1.06E+08
0.0222,1.06E+08
0.0223,1.06E+08
0.0224,1.06E+08
0.0225,1.06E+08
0.0226,1.06E+08
0.0227,1.06E+08
0.0228,1.06E+08
0.0229,1.06E+08
0.023,1.06E+08
0.0231,1.06E+08
0.0232,1.06E+08
0.0233,1.06E+08
0.0234,1.06E+08
0.0235,1.06E+08
0.0236,1.06E+08
0.0237,1.06E+08
0.0238,1.06E+08
0.0239,1.06E+08
0.024,1.06E+08
0.0241,1.06E+08
0.0242,1.06E+08
0.0243,1.06E+08
0.0244,1.06E+08
0.0245,1.06E+08
0.0246,1.06E+08
0.0247,1.06E+08
0.0248,1.06E+08
0.0249,1.06E+08
0.025,1.06E+08
0.0251,1.06E+08
0.0252,1.06E+08
0.0253,1.06E+08
0.0254,1.06E+08
0.0255,1.06E+08
0.0256,1.06E+08
0.0257,1.06E+08
0.0258,1.06E+08
0.0259,1.06E+08
0.026,1.06E+08
0.0261,1.06E+08
0.0262,1.06E+08
0.0263,1.06E+08
0.0264,1.06E+08
0.0265,1.06E+08
0.0266,1.06E+08
0.0267,1.06E+08
0.0268,1.06E+08
0.0269,1.06E+08
0.027,1.06E+08
0.0271,1.06E+08
0.0272,1.06E+08
0.0273,1.06E+08
0.0274,1.06E+08
0.0275,1.06E+08
0.0276,1.06E+08
0.0277,1.06E+08
0.0278,1.06E+08
0.0279,1.06E+08
0.028,1.06E+08
0.0281,1.06E+08
0.0282,1.06E+08
0.0283,1.06E+08
0.0284,1.06E+08
0.0285,1.06E+08
0.0286,1.06E+08
0.0287,1.06E+08
0.0288,1.06E+08
0.0289,1.06E+08
0.029,1.06E+08
0.0291,1.06E+08
0.0292,1.06E+08
0.0293,1.06E+08
0.0294,1.06E+08
0.0295,1.06E+08
0.0296,1.06E+08
0.0297,1.06E+08
0.0298,1.06E+08
0.0299,1.06E+08
0.03,1.06E+08
0.0301,1.06E+08
0.0302,1.06E+08
0.0303,1.06E+08
0.0304,1.06E+08
0.0305,1.06E+08
0.0306,1.06E+08
0.0307,1.06E+08
0.0308,1.06E+08
0.0309,1.06E+08
0.031,1.06E+08
0.0311,1.06E+08
0.0312,1.06E+08
0.0313,1.06E+08
0.0314,1.06E+08
0.0315,1.06E+08
0.0316,1.06E+08
0.0317,1.06E+08
0.0318,1.06E+08
0.0319,1.06E+08
0.032,1.06E+08
0.0321,1.06E+08
0.0322,1.06E+08
0.0323,1.06E+08
0.0324,1.06E+08
0.0325,1.06E+08
0.0326,1.06E+08
0.0327,1.06E+08
0.0328,1.06E+08
0.0329,1.06E+08
0.033,1.06E+08
0.0331,1.06E+08
0.0332,1.06E+08
0.0333,1.06E+08
0.0334,1.06E+08
0.0335,1.06E+08
0.0336,1.06E+08
0.0337,1.05E+08
0.0338,1.05E+08
0.0339,1.05E+08
0.034,1.05E+08
0.0341,1.05E+08
0.0342,1.05E+08
0.0343,1.05E+08
0.0344,1.05E+08
0.0345,1.05E+08
0.0346,1.05E+08
0.0347,1.05E+08
0.0348,1.05E+08
0.0349,1.05E+08
0.035,1.05E+08
0.0351,1.05E+08
0.0352,1.05E+08
0.0353,1.05E+08
0.0354,1.05E+08
0.0355,1.05E+08
0.0356,1.05E+08
0.0357,1.05E+08
0.0358,1.05E+08
0.0359,1.05E+08
0.036,1.05E+08
0.0361,1.05E+08
0.0362,1.05E+08
0.0363,1.05E+08
0.0364,1.05E+08
0.0365,1.05E+08
0.0366,1.05E+08
0.0367,1.05E+08
0.0368,1.05E+08
0.0369,1.05E+08
0.037,1.05E+08
0.0371,1.05E+08
0.0372,1.05E+08
0.0373,1.05E+08
0.0374,1.05E+08
0.0375,1.05E+08
0.0376,1.05E+08
0.0377,1.05E+08
0.0378,1.05E+08
