Subsidy_percentage,OBJECTIVE
0,1.60E+08
0.01,1.58E+08
0.02,1.57E+08
0.03,1.55E+08
0.04,1.54E+08
0.05,1.54E+08
0.06,1.54E+08
0.07,1.54E+08
0.08,1.55E+08
0.09,1.56E+08
0.1,1.56E+08
0.11,1.57E+08
0.12,1.59E+08
0.13,1.61E+08
0.14,1.63E+08
0.15,1.65E+08
0.16,1.67E+08
0.17,1.70E+08
0.18,1.73E+08
0.19,1.77E+08
0.2,1.79E+08
0.21,1.82E+08
0.22,1.85E+08
0.23,1.88E+08
0.24,1.98E+08
0.25,2.04E+08
0.26,2.18E+08
0.27,2.45E+08
0.28,2.62E+08
0.29,3.02E+08
0.3,3.29E+08
0.31,3.90E+08
0.32,4.56E+08
0.33,5.66E+08
0.34,7.00E+08
0.35,9.45E+08
0.36,1.18E+09
0.37,1.41E+09
0.38,1.60E+09
0.39,1.82E+09
0.4,2.01E+09
0.41,2.17E+09
0.42,2.34E+09
0.43,2.53E+09
0.44,2.69E+09
0.45,2.81E+09
0.46,2.91E+09
0.47,3.01E+09
0.48,3.10E+09
0.49,3.17E+09
0.5,3.22E+09
0.51,3.29E+09
0.52,3.40E+09
0.53,3.43E+09
0.54,3.49E+09
0.55,3.52E+09
0.56,3.58E+09
0.57,3.60E+09
0.58,3.62E+09
0.59,3.63E+09
0.6,3.64E+09
0.61,3.64E+09
0.62,3.65E+09
0.63,3.66E+09
0.64,3.67E+09
0.65,3.68E+09
0.66,3.69E+09
0.67,3.69E+09
0.68,3.70E+09
0.69,3.70E+09
0.7,3.71E+09
0.71,3.72E+09
0.72,3.73E+09
0.73,3.73E+09
0.74,3.74E+09
0.75,3.75E+09
0.76,3.75E+09
0.77,3.76E+09
0.78,3.76E+09
0.79,3.77E+09
0.8,3.78E+09
0.81,3.78E+09
0.82,3.79E+09
0.83,3.79E+09
0.84,3.80E+09
0.85,3.81E+09
0.86,3.81E+09
0.87,3.82E+09
0.88,3.83E+09
0.89,3.84E+09
0.9,3.84E+09
0.91,3.85E+09
0.92,3.85E+09
0.93,3.86E+09
0.94,3.86E+09
0.95,3.87E+09
0.96,3.88E+09
0.97,3.88E+09
0.98,3.89E+09
0.99,3.89E+09
1,3.90E+09
