Subsidy_percentage,OBJECTIVE
0,4.85E+07
0.01,4.76E+07
0.02,4.74E+07
0.03,4.72E+07
0.04,4.73E+07
0.05,4.77E+07
0.06,4.81E+07
0.07,4.86E+07
0.08,4.97E+07
0.09,5.12E+07
0.1,5.26E+07
0.11,5.39E+07
0.12,5.54E+07
0.13,5.73E+07
0.14,5.90E+07
0.15,6.14E+07
0.16,6.40E+07
0.17,6.73E+07
0.18,7.00E+07
0.19,7.73E+07
0.2,9.11E+07
0.21,1.28E+08
0.22,1.67E+08
0.23,2.65E+08
0.24,4.54E+08
0.25,7.70E+08
0.26,1.05E+09
0.27,1.31E+09
0.28,1.55E+09
0.29,1.76E+09
0.3,1.90E+09
0.31,2.03E+09
0.32,2.10E+09
0.33,2.21E+09
0.34,2.26E+09
0.35,2.31E+09
0.36,2.34E+09
0.37,2.35E+09
0.38,2.36E+09
0.39,2.37E+09
0.4,2.38E+09
0.41,2.39E+09
0.42,2.40E+09
0.43,2.41E+09
0.44,2.42E+09
0.45,2.42E+09
0.46,2.43E+09
0.47,2.44E+09
0.48,2.44E+09
0.49,2.45E+09
0.5,2.46E+09
0.51,2.46E+09
0.52,2.47E+09
0.53,2.47E+09
0.54,2.48E+09
0.55,2.49E+09
0.56,2.49E+09
0.57,2.50E+09
0.58,2.50E+09
0.59,2.51E+09
0.6,2.51E+09
0.61,2.52E+09
0.62,2.53E+09
0.63,2.53E+09
0.64,2.54E+09
0.65,2.54E+09
0.66,2.55E+09
0.67,2.56E+09
0.68,2.56E+09
0.69,2.57E+09
0.7,2.57E+09
0.71,2.58E+09
0.72,2.58E+09
0.73,2.59E+09
0.74,2.59E+09
0.75,2.60E+09
0.76,2.60E+09
0.77,2.61E+09
0.78,2.61E+09
0.79,2.62E+09
0.8,2.62E+09
0.81,2.63E+09
0.82,2.63E+09
0.83,2.64E+09
0.84,2.64E+09
0.85,2.65E+09
0.86,2.65E+09
0.87,2.66E+09
0.88,2.66E+09
0.89,2.67E+09
0.9,2.67E+09
0.91,2.68E+09
0.92,2.68E+09
0.93,2.69E+09
0.94,2.69E+09
0.95,2.70E+09
0.96,2.70E+09
0.97,2.71E+09
0.98,2.71E+09
0.99,2.72E+09
1,2.72E+09
