Subsidy_percentage,OBJECTIVE
0.02,1.09E+08
0.0201,1.09E+08
0.0202,1.09E+08
0.0203,1.09E+08
0.0204,1.09E+08
0.0205,1.09E+08
0.0206,1.09E+08
0.0207,1.09E+08
0.0208,1.09E+08
0.0209,1.09E+08
0.021,1.09E+08
0.0211,1.09E+08
0.0212,1.09E+08
0.0213,1.09E+08
0.0214,1.09E+08
0.0215,1.09E+08
0.0216,1.09E+08
0.0217,1.09E+08
0.0218,1.09E+08
0.0219,1.09E+08
0.022,1.09E+08
0.0221,1.09E+08
0.0222,1.09E+08
0.0223,1.09E+08
0.0224,1.09E+08
0.0225,1.09E+08
0.0226,1.09E+08
0.0227,1.09E+08
0.0228,1.09E+08
0.0229,1.09E+08
0.023,1.09E+08
0.0231,1.09E+08
0.0232,1.09E+08
0.0233,1.09E+08
0.0234,1.09E+08
0.0235,1.09E+08
0.0236,1.09E+08
0.0237,1.09E+08
0.0238,1.09E+08
0.0239,1.09E+08
0.024,1.09E+08
0.0241,1.09E+08
0.0242,1.09E+08
0.0243,1.09E+08
0.0244,1.09E+08
0.0245,1.09E+08
0.0246,1.09E+08
0.0247,1.09E+08
0.0248,1.09E+08
0.0249,1.09E+08
0.025,1.09E+08
0.0251,1.09E+08
0.0252,1.09E+08
0.0253,1.09E+08
0.0254,1.09E+08
0.0255,1.09E+08
0.0256,1.09E+08
0.0257,1.09E+08
0.0258,1.09E+08
0.0259,1.09E+08
0.026,1.09E+08
0.0261,1.08E+08
0.0262,1.08E+08
0.0263,1.08E+08
0.0264,1.08E+08
0.0265,1.08E+08
0.0266,1.08E+08
0.0267,1.08E+08
0.0268,1.08E+08
0.0269,1.08E+08
0.027,1.08E+08
0.0271,1.09E+08
0.0272,1.09E+08
0.0273,1.09E+08
0.0274,1.09E+08
0.0275,1.09E+08
0.0276,1.09E+08
0.0277,1.08E+08
0.0278,1.08E+08
0.0279,1.08E+08
0.028,1.08E+08
0.0281,1.08E+08
0.0282,1.08E+08
0.0283,1.08E+08
0.0284,1.08E+08
0.0285,1.08E+08
0.0286,1.08E+08
0.0287,1.08E+08
0.0288,1.08E+08
0.0289,1.08E+08
0.029,1.08E+08
0.0291,1.08E+08
0.0292,1.08E+08
0.0293,1.08E+08
0.0294,1.08E+08
0.0295,1.08E+08
0.0296,1.08E+08
0.0297,1.08E+08
0.0298,1.08E+08
0.0299,1.08E+08
0.03,1.08E+08
0.0301,1.08E+08
0.0302,1.08E+08
0.0303,1.08E+08
0.0304,1.08E+08
0.0305,1.08E+08
0.0306,1.08E+08
0.0307,1.08E+08
0.0308,1.08E+08
0.0309,1.08E+08
0.031,1.08E+08
0.0311,1.08E+08
0.0312,1.08E+08
0.0313,1.08E+08
0.0314,1.08E+08
0.0315,1.08E+08
0.0316,1.08E+08
0.0317,1.08E+08
0.0318,1.08E+08
0.0319,1.08E+08
0.032,1.08E+08
0.0321,1.08E+08
0.0322,1.08E+08
0.0323,1.08E+08
0.0324,1.08E+08
0.0325,1.08E+08
0.0326,1.08E+08
0.0327,1.08E+08
0.0328,1.08E+08
0.0329,1.08E+08
0.033,1.08E+08
0.0331,1.08E+08
0.0332,1.08E+08
0.0333,1.08E+08
0.0334,1.07E+08
0.0335,1.08E+08
0.0336,1.08E+08
0.0337,1.08E+08
0.0338,1.08E+08
0.0339,1.08E+08
0.034,1.08E+08
0.0341,1.08E+08
0.0342,1.08E+08
0.0343,1.08E+08
0.0344,1.08E+08
0.0345,1.08E+08
0.0346,1.08E+08
0.0347,1.08E+08
0.0348,1.08E+08
0.0349,1.07E+08
0.035,1.07E+08
0.0351,1.07E+08
0.0352,1.07E+08
0.0353,1.07E+08
0.0354,1.07E+08
0.0355,1.07E+08
0.0356,1.07E+08
0.0357,1.07E+08
0.0358,1.07E+08
0.0359,1.07E+08
0.036,1.07E+08
0.0361,1.07E+08
0.0362,1.07E+08
