Subsidy_percentage,OBJECTIVE
0,7.16E+07
0.01,7.04E+07
0.02,7.03E+07
0.03,7.04E+07
0.04,7.04E+07
0.05,7.08E+07
0.06,7.15E+07
0.07,7.24E+07
0.08,7.37E+07
0.09,7.52E+07
0.1,7.69E+07
0.11,7.87E+07
0.12,8.11E+07
0.13,8.36E+07
0.14,8.63E+07
0.15,8.87E+07
0.16,9.13E+07
0.17,9.55E+07
0.18,9.89E+07
0.19,1.03E+08
0.2,1.07E+08
0.21,1.11E+08
0.22,1.19E+08
0.23,1.25E+08
0.24,1.50E+08
0.25,1.68E+08
0.26,2.12E+08
0.27,2.46E+08
0.28,3.23E+08
0.29,4.30E+08
0.3,5.74E+08
0.31,8.35E+08
0.32,1.07E+09
0.33,1.30E+09
0.34,1.54E+09
0.35,1.74E+09
0.36,1.90E+09
0.37,2.12E+09
0.38,2.30E+09
0.39,2.43E+09
0.4,2.52E+09
0.41,2.64E+09
0.42,2.70E+09
0.43,2.77E+09
0.44,2.85E+09
0.45,2.92E+09
0.46,2.98E+09
0.47,3.03E+09
0.48,3.05E+09
0.49,3.08E+09
0.5,3.09E+09
0.51,3.10E+09
0.52,3.11E+09
0.53,3.12E+09
0.54,3.13E+09
0.55,3.14E+09
0.56,3.14E+09
0.57,3.15E+09
0.58,3.16E+09
0.59,3.16E+09
0.6,3.17E+09
0.61,3.18E+09
0.62,3.18E+09
0.63,3.19E+09
0.64,3.20E+09
0.65,3.20E+09
0.66,3.21E+09
0.67,3.21E+09
0.68,3.22E+09
0.69,3.23E+09
0.7,3.24E+09
0.71,3.24E+09
0.72,3.25E+09
0.73,3.26E+09
0.74,3.27E+09
0.75,3.27E+09
0.76,3.28E+09
0.77,3.29E+09
0.78,3.30E+09
0.79,3.30E+09
0.8,3.31E+09
0.81,3.31E+09
0.82,3.32E+09
0.83,3.32E+09
0.84,3.33E+09
0.85,3.33E+09
0.86,3.34E+09
0.87,3.35E+09
0.88,3.35E+09
0.89,3.36E+09
0.9,3.37E+09
0.91,3.37E+09
0.92,3.38E+09
0.93,3.38E+09
0.94,3.39E+09
0.95,3.40E+09
0.96,3.40E+09
0.97,3.41E+09
0.98,3.41E+09
0.99,3.42E+09
1,3.42E+09
