who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,total_market_value,structure_value,sq.ft.,damage_pct_10y,damage_pct_100y,cost_to_personal_property_10y,cost_to_personal_property_100y,latitude,longitude,elevation,stories,basement,inundation_10y,inundation_100y,future_loss,future_benefit,mot_year,ori_year,ori_moved?,nearhouse,move,normal_inf?,poor_inf?,s_prime,moved?,cnear,nbpast_move
0,15,332,-664.7955359,146.7771786,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",349000,245000,1571,0.672,0.732,50000,50000,40.584262,-73.938671,1.8,1,"""""",85,114,9593836.517,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
1,85,106,-832.8369638,111.7641135,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",1613000,1284000,3000,0.587,0.587,50000,50000,40.581301,-73.952882,0.9,2,"""""",121,149,5.48E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
2,35,133,-250.5747758,517.3646356,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",729000,523000,2717,0.449,0.557,50000,50000,40.615602,-73.903641,1.9,2,"""""",81,110,2.95E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
3,35,150,-664.8664844,88.13827626,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",680000,467000,2500,0.586,0.672,50000,50000,40.579303,-73.938677,2.3,1,"""""",65,94,2.81E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
4,25,336,-465.1583937,513.3678724,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",490000,323000,2000,0.362,0.449,50000,50000,40.615264,-73.921788,2.7,2,"""""",50,78,2.26E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5,35,339,-821.7217051,215.6563087,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",625000,470000,1600,0,0.152,0,20624,40.590087,-73.951942,4.5,2,"""""",0,8,2.65E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
6,125,12,-771.5256695,111.1965258,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",2564000,1726000,9360,0.754,0.754,50000,50000,40.581253,-73.947697,0.2,1,"""""",148,177,8.21E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
7,45,73,-261.7846326,509.3238101,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",801000,598000,2592,0.524,0.587,50000,50000,40.614922,-73.904589,1.4,2,"""""",101,130,3.16E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
8,35,17,-696.6986935,196.2873791,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",675000,515000,1800,0.314,0.407,50000,50000,40.588449,-73.941369,2.9,2,"""""",42,71,2.79E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
9,25,240,-738.1207695,214.7103292,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",565000,409000,2200,0.471,0.586,50000,50000,40.590007,-73.944872,3,1,"""""",38,67,2.48E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
