Year,Objective
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1.16E+09
15,3.34E+09
16,6.29E+09
17,9.32E+09
18,1.32E+10
19,1.80E+10
20,2.24E+10
21,2.31E+10
22,2.31E+10
23,2.32E+10
24,2.33E+10
25,2.34E+10
26,2.38E+10
27,2.47E+10
28,2.50E+10
29,2.50E+10
30,2.50E+10
31,2.50E+10
32,2.50E+10
33,2.50E+10
34,2.50E+10
35,2.50E+10
36,2.50E+10
37,2.50E+10
38,2.50E+10
39,2.50E+10
40,2.50E+10
41,2.50E+10
42,2.50E+10
43,2.50E+10
44,2.50E+10
45,2.50E+10
46,2.50E+10
47,2.50E+10
48,2.50E+10
49,2.50E+10
50,2.50E+10
51,2.50E+10
52,2.50E+10
53,2.50E+10
54,2.50E+10
55,2.50E+10
56,2.50E+10
57,2.50E+10
58,2.50E+10
59,2.50E+10
60,2.50E+10
61,2.50E+10
62,2.50E+10
63,2.50E+10
64,2.50E+10
65,2.50E+10
66,2.50E+10
67,2.50E+10
68,2.50E+10
69,2.50E+10
70,2.50E+10
71,2.50E+10
72,2.50E+10
73,2.50E+10
74,2.50E+10
75,2.50E+10
76,2.50E+10
77,2.50E+10
78,2.50E+10
79,2.50E+10
80,2.50E+10
81,2.50E+10
