Year,Objective
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,5.75E+08
51,1.87E+09
52,3.68E+09
53,5.93E+09
54,8.37E+09
55,1.20E+10
56,1.40E+10
57,1.65E+10
58,1.95E+10
59,2.28E+10
60,2.60E+10
61,2.89E+10
62,3.05E+10
63,3.05E+10
64,3.05E+10
65,3.05E+10
66,3.06E+10
67,3.07E+10
68,3.09E+10
69,3.11E+10
70,3.20E+10
71,3.24E+10
72,3.24E+10
73,3.24E+10
74,3.24E+10
75,3.24E+10
76,3.24E+10
77,3.24E+10
78,3.24E+10
79,3.24E+10
80,3.24E+10
81,3.24E+10
