latitude,longitude,altitude (m),improvementmarketvalue,marketvalueyear,noofstories,propertycountylandusecode,propertyzip,rowid,squarefeet,storytypestdcode,totalmarketvalue
40.584262,-73.938671,1.8,245000,2017,1,RR101,11235,0003C257-730B-E811-80C3-3863BB430E3F,1571,,349000
40.581301,-73.952882,0.9,1284000,2017,2,RR101,11235,0013C957-730B-E811-80C3-3863BB430E3F,3000,,1613000
40.615602,-73.903641,1.9,523000,2017,2,RR101,11234,0035D057-730B-E811-80C3-3863BB430E3F,2717,,729000
40.579303,-73.938677,2.3,467000,2017,1,RR101,11235,003AD057-730B-E811-80C3-3863BB430E3F,2500,,680000
40.615264,-73.921788,2.7,323000,2017,2,RR101,11234,0059B857-730B-E811-80C3-3863BB430E3F,2000,,490000
40.590087,-73.951942,4.5,470000,2017,2,RR101,11235,0083A557-730B-E811-80C3-3863BB430E3F,1600,,625000
40.581253,-73.947697,0.2,1726000,2017,1,RR101,11235,0084A057-730B-E811-80C3-3863BB430E3F,9360,,2564000
40.614922,-73.904589,1.4,598000,2017,2,RR101,11234,0087A057-730B-E811-80C3-3863BB430E3F,2592,,801000
40.588449,-73.941369,2.9,515000,2017,2,RR101,11235,0087C457-730B-E811-80C3-3863BB430E3F,1800,,675000
40.590007,-73.944872,3,409000,2017,1,RR101,11235,008ACB57-730B-E811-80C3-3863BB430E3F,2200,,565000
40.616025,-73.931218,4.1,442000,2017,2,RR101,11234,0093A057-730B-E811-80C3-3863BB430E3F,2000,,565000
40.624008,-73.928569,4.6,461000,2017,2.5,RR101,11234,009AB857-730B-E811-80C3-3863BB430E3F,2650,,642000
40.616064,-73.916076,2.7,351000,2017,2,RR101,11234,00ACA057-730B-E811-80C3-3863BB430E3F,2804,,581000
40.632354,-73.931091,6.5,462000,2017,2,RR101,11234,00B1D257-730B-E811-80C3-3863BB430E3F,2167,,610000
40.608316,-73.926928,3.1,390000,2017,2,RR101,11234,00B7A057-730B-E811-80C3-3863BB430E3F,2500,,561000
40.630522,-73.933075,6.9,340000,2017,2,RR101,11234,00BCCB57-730B-E811-80C3-3863BB430E3F,2433,,520000
40.617346,-73.923523,4.1,345000,2017,1,RR101,11234,00C2CB57-730B-E811-80C3-3863BB430E3F,3000,,502000
40.620331,-73.925795,4.8,313000,2017,2,RR101,11234,00CCBF57-730B-E811-80C3-3863BB430E3F,3000,,471000
40.632793,-73.903615,1.7,361000,2017,2,RR101,11236,00D5D957-730B-E811-80C3-3863BB430E3F,1800,,521000
40.629124,-73.932586,6.5,291000,2017,2,RR101,11234,00DFBF57-730B-E811-80C3-3863BB430E3F,2048,,435000
40.609584,-73.925134,3,360000,2017,2,RR101,11234,00E3C157-730B-E811-80C3-3863BB430E3F,2000,,492000
40.606995,-73.929232,3.2,409000,2017,1,RR101,11234,00E4A257-730B-E811-80C3-3863BB430E3F,2267,,567000
40.6164,-73.931499,4.1,499000,2017,2.5,RR101,11234,00F0C157-730B-E811-80C3-3863BB430E3F,2017,,650000
40.643038,-73.902363,5.8,219000,2017,2,RR101,11236,00F1CD57-730B-E811-80C3-3863BB430E3F,1873,,338000
40.636087,-73.92589,4.5,327000,2017,2,RR101,11234,00F4D457-730B-E811-80C3-3863BB430E3F,2000,,481000
40.637346,-73.885531,2.5,306000,2017,2,RR101,11236,00F5D457-730B-E811-80C3-3863BB430E3F,2133,,435000
40.607493,-73.927718,3.1,466000,2017,2,RR101,11234,01019C57-730B-E811-80C3-3863BB430E3F,2167,,616000
40.61127,-73.94015,4.6,512000,2017,2,RR101,11234,0104AF57-730B-E811-80C3-3863BB430E3F,2025,,687000
40.614646,-73.900598,1.8,476000,2017,2,RR101,11234,0113B657-730B-E811-80C3-3863BB430E3F,2500,,662000
40.590431,-73.941155,3,631000,2017,2,RR101,11235,0115B657-730B-E811-80C3-3863BB430E3F,2608,,806000
40.634888,-73.892232,3.1,278000,2017,2,RR101,11236,0119C255-730B-E811-80C3-3863BB430E3F,1552,,369000
40.581037,-73.966746,2.5,195000,2017,1,RR101,11235,013DBD57-730B-E811-80C3-3863BB430E3F,920,,321000
40.624887,-73.923392,4.4,174000,2017,1,RR101,11234,013FB157-730B-E811-80C3-3863BB430E3F,4000,,431000
40.620191,-73.910625,2.7,421000,2017,2,RR101,11234,015BA557-730B-E811-80C3-3863BB430E3F,2800,,562000
40.580476,-73.939852,0.4,920000,2017,2,RR101,11235,0170A557-730B-E811-80C3-3863BB430E3F,2525,,1283000
40.606308,-73.914757,0.7,504000,2017,2,RR101,11234,017AA557-730B-E811-80C3-3863BB430E3F,1800,,675000
40.634816,-73.92445,4.3,233000,2017,2.5,RR101,11234,01C3BA57-730B-E811-80C3-3863BB430E3F,4000,,490000
40.613433,-73.931879,4.2,348000,2017,2,RR101,11234,01D3B357-730B-E811-80C3-3863BB430E3F,2500,,569000
40.641833,-73.883891,1.4,292000,2017,2,RR101,11236,01D4BA57-730B-E811-80C3-3863BB430E3F,2121,,430000
40.584616,-73.937566,2,218000,2017,1,RR101,11235,01DD9B57-730B-E811-80C3-3863BB430E3F,1287,,333000
40.586832,-73.935239,2.6,329000,2017,2,RR101,11235,01E29B57-730B-E811-80C3-3863BB430E3F,2600,,538000
40.5867,-73.95937,3.3,246000,2017,1,RR101,11235,01F3AE57-730B-E811-80C3-3863BB430E3F,1452,,364000
40.637566,-73.885009,2.6,286000,2017,2,RR101,11236,0212D557-730B-E811-80C3-3863BB430E3F,2125,,414000
40.57924,-73.942025,1.2,1038000,2017,2,RR101,11235,0219D557-730B-E811-80C3-3863BB430E3F,5940,,1457000
40.5917,-73.953236,6.6,536000,2017,2,RR101,11235,0222DC57-730B-E811-80C3-3863BB430E3F,1700,,682000
40.631857,-73.920292,4.3,239000,2017,2,RR101,11234,0226C257-730B-E811-80C3-3863BB430E3F,2500,,392000
40.631032,-73.930844,6.6,387000,2017,1,RR101,11234,0234D557-730B-E811-80C3-3863BB430E3F,2200,,527000
40.616343,-73.924424,4,279000,2017,2,RR101,11234,0238D057-730B-E811-80C3-3863BB430E3F,2000,,447000
