"BehaviorSpace results (NetLogo 6.1.1)"
"/Users/tikumporn/Desktop/GitHub/GameTheoryFloodReloc/Netlogo/ObjRun.nlogo"
"best_Subsidy"
"11/13/2019 15:30:18:673 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1000","0","0","1000"
"[run number]","Subsidy","House_Price_Cutoff","[step]","OBJECTIVE"
"1","0","389000","101","2.576082908874878E9"
"4","30000","389000","101","2.6904845988351326E9"
"3","20000","389000","101","2.654332302783928E9"
"2","10000","389000","101","2.615532242852905E9"
"8","70000","389000","101","2.817768883176253E9"
"6","50000","389000","101","2.7540548526426167E9"
"7","60000","389000","101","2.78727121681368E9"
"5","40000","389000","101","2.7246231292939878E9"
"10","90000","389000","101","2.88046852117361E9"
"11","100000","389000","101","2.917852073108287E9"
"12","110000","389000","101","2.9548940235375166E9"
"9","80000","389000","101","2.849114485746187E9"
"13","120000","389000","101","2.99128334260815E9"
"15","140000","389000","101","3.0747638150442095E9"
"14","130000","389000","101","3.0330332710233436E9"
"16","150000","389000","101","3.115557407170888E9"
"19","180000","389000","101","3.243325869575341E9"
"18","170000","389000","101","3.199059920884352E9"
"17","160000","389000","101","3.156113362580936E9"
"20","190000","389000","101","3.2903532290319357E9"
"22","210000","389000","101","3.3850517155974283E9"
"24","230000","389000","101","3.4926727599668107E9"
"21","200000","389000","101","3.33665834586289E9"
"23","220000","389000","101","3.4382662920551395E9"
"25","240000","389000","101","3.5469803724167304E9"
"27","260000","389000","101","3.6491117417196937E9"
"26","250000","389000","101","3.598402265603777E9"
"28","270000","389000","101","3.7037420723245463E9"
"29","280000","389000","101","3.7619085622280016E9"
"30","290000","389000","101","3.818303615693808E9"
"31","300000","389000","101","3.876967000873795E9"
"32","310000","389000","101","3.9372934686362686E9"
"33","320000","389000","101","3.997530921086205E9"
"34","330000","389000","101","4.0588829935186687E9"
"35","340000","389000","101","4.1204860375461946E9"
"36","350000","389000","101","4.1848643796683087E9"
"37","360000","389000","101","4.2483012239263673E9"
"38","370000","389000","101","4.315218170100171E9"
"39","380000","389000","101","4.382572011001931E9"
"40","390000","389000","101","4.451100420486585E9"
"41","400000","389000","101","4.520783954200909E9"
"42","410000","389000","101","4.590940759628658E9"
"43","420000","389000","101","4.661954098095672E9"
"44","430000","389000","101","4.733954970923344E9"
"45","440000","389000","101","4.805626474323986E9"
"46","450000","389000","101","4.879152727776051E9"
"47","460000","389000","101","4.953469855715181E9"
"48","470000","389000","101","5.029828433421302E9"
"49","480000","389000","101","5.104677252116791E9"
"51","500000","389000","101","5.257367306985555E9"
"50","490000","389000","101","5.180188087647977E9"
"52","510000","389000","101","5.335550062348089E9"
"53","520000","389000","101","5.415686971926924E9"
"55","540000","389000","101","5.575613402878009E9"
"54","530000","389000","101","5.4960722270091915E9"
"56","550000","389000","101","5.656787581200415E9"
"57","560000","389000","101","5.739675322794848E9"
"58","570000","389000","101","5.821823145457361E9"
"59","580000","389000","101","5.904771014672186E9"
"60","590000","389000","101","5.990322247378374E9"
"61","600000","389000","101","6.073072762445362E9"
"62","610000","389000","101","6.158686609577842E9"
"63","620000","389000","101","6.244132993171695E9"
"64","630000","389000","101","6.328828439830636E9"
"65","640000","389000","101","6.415000226799176E9"
"66","650000","389000","101","6.50132962877984E9"
"67","660000","389000","101","6.589305392934277E9"
"68","670000","389000","101","6.675072132909051E9"
"69","680000","389000","101","6.763276671684184E9"
"70","690000","389000","101","6.851986330439154E9"
"71","700000","389000","101","6.940045677063215E9"
"72","710000","389000","101","7.028173898619973E9"
"73","720000","389000","101","7.116851051150733E9"
"74","730000","389000","101","7.206901450322117E9"
"75","740000","389000","101","7.297496516045137E9"
"76","750000","389000","101","7.387243685670634E9"
"77","760000","389000","101","7.479084165573449E9"
"78","770000","389000","101","7.569515892880392E9"
"79","780000","389000","101","7.660992699179935E9"
"80","790000","389000","101","7.752578022832733E9"
"81","800000","389000","101","7.84557052642731E9"
"82","810000","389000","101","7.936994391048424E9"
"83","820000","389000","101","8.030366620602667E9"
"84","830000","389000","101","8.123139756167319E9"
"85","840000","389000","101","8.216978760525377E9"
"86","850000","389000","101","8.3106964539151125E9"
"87","860000","389000","101","8.404363898812754E9"
"88","870000","389000","101","8.49947205169866E9"
"89","880000","389000","101","8.593663994181913E9"
"90","890000","389000","101","8.688310086743618E9"
"91","900000","389000","101","8.783601658856504E9"
"92","910000","389000","101","8.878548319780931E9"
"93","920000","389000","101","8.973672121984852E9"
"94","930000","389000","101","9.070114281416327E9"
"95","940000","389000","101","9.166516494994122E9"
"96","950000","389000","101","9.262393784886068E9"
"97","960000","389000","101","9.358530161403572E9"
"98","970000","389000","101","9.455440690737818E9"
"99","980000","389000","101","9.551576279405552E9"
"100","990000","389000","101","9.649494530175714E9"
"101","1000000","389000","101","9.74720280532567E9"
"102","0","390000","101","2.5845812153886666E9"
"103","10000","390000","101","2.6240105084169006E9"
"104","20000","390000","101","2.6627905273981137E9"
"105","30000","390000","101","2.698922782499522E9"
"106","40000","390000","101","2.732806553756457E9"
"107","50000","390000","101","2.7622479739805937E9"
"108","60000","390000","101","2.7951929386041083E9"
"110","80000","390000","101","2.8565235891767597E9"
"109","70000","390000","101","2.8254480413192425E9"
"111","90000","390000","101","2.887773453234876E9"
"112","100000","390000","101","2.925137686365548E9"
"113","110000","390000","101","2.9621603179907613E9"
"115","130000","390000","101","3.040135643527171E9"
"114","120000","390000","101","2.998530318257395E9"
"116","140000","390000","101","3.0818470330428033E9"
"117","150000","390000","101","3.122655119129615E9"
"118","160000","390000","101","3.1630740275992985E9"
"119","170000","390000","101","3.206033574008333E9"
"120","180000","390000","101","3.2503162998307953E9"
"121","190000","390000","101","3.2973479803382034E9"
"122","200000","390000","101","3.3434202831625805E9"
"123","210000","390000","101","3.3916771481067157E9"
"124","220000","390000","101","3.444765607119377E9"
"125","230000","390000","101","3.4991523161419935E9"
"127","250000","390000","101","3.6048559585355053E9"
"126","240000","390000","101","3.5534540398117185E9"
"128","260000","390000","101","3.6551149867660108E9"
"130","280000","390000","101","3.7675562048806477E9"
"129","270000","390000","101","3.7095132968664775E9"
"131","290000","390000","101","3.823822722430048E9"
"132","300000","390000","101","3.8824675577687817E9"
"133","310000","390000","101","3.9427754756900015E9"
"134","320000","390000","101","4.002994378298677E9"
"135","330000","390000","101","4.064327900889883E9"
"136","340000","390000","101","4.125834421949913E9"
"137","350000","390000","101","4.190212323600517E9"
"138","360000","390000","101","4.253640172793267E9"
"139","370000","390000","101","4.320537132246551E9"
"140","380000","390000","101","4.38777074986112E9"
"141","390000","390000","101","4.45618199515047E9"
"142","400000","390000","101","4.525758358775307E9"
"143","410000","390000","101","4.595896252274658E9"
"144","420000","390000","101","4.666808090144603E9"
"145","430000","390000","101","4.738713878677808E9"
"146","440000","390000","101","4.810187246948409E9"
"147","450000","390000","101","4.883422477645615E9"
"148","460000","390000","101","4.957550410641967E9"
"149","470000","390000","101","5.033898233061588E9"
"150","480000","390000","101","5.10872914226204E9"
"151","490000","390000","101","5.18422141165718E9"
"152","500000","390000","101","5.261382064858723E9"
"153","510000","390000","101","5.339546254085191E9"
"154","520000","390000","101","5.419582956831305E9"
"155","530000","390000","101","5.4998641844728985E9"
"156","540000","390000","101","5.579385830553259E9"
"157","550000","390000","101","5.660459726735353E9"
"158","560000","390000","101","5.743323288593739E9"
"159","570000","390000","101","5.825452641844834E9"
"160","580000","390000","101","5.908382041648235E9"
"161","590000","390000","101","5.993914804943006E9"
"162","600000","390000","101","6.076425017467994E9"
"163","610000","390000","101","6.161946076883961E9"
"164","620000","390000","101","6.247152772765962E9"
"166","640000","390000","101","6.417779869263613E9"
"165","630000","390000","101","6.331694735330294E9"
"167","650000","390000","101","6.504091815593108E9"
"168","660000","390000","101","6.592050256202638E9"
"169","670000","390000","101","6.677799324952029E9"
"170","680000","390000","101","6.765915246289957E9"
"171","690000","390000","101","6.854542570020248E9"
"172","700000","390000","101","6.942584617310218E9"
"173","710000","390000","101","7.030629201245962E9"
"174","720000","390000","101","7.119282569334709E9"
"175","730000","390000","101","7.209302139072025E9"
"176","740000","390000","101","7.299813564840371E9"
