"BehaviorSpace results (NetLogo 6.1.1)"
"/Users/tikumporn/Desktop/GitHub/GameTheoryFloodReloc/Netlogo/ObjRun.nlogo"
"best_Subsidy"
"11/13/2019 15:01:03:857 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1000","0","0","1000"
"[run number]","Subsidy","Normal_dis","[step]","OBJECTIVE"
"4","30000","0.09","101","2.690484598835138E9"
"3","20000","0.09","101","2.6543323027839217E9"
"1","0","0.09","101","2.5760829088748803E9"
"2","10000","0.09","101","2.615532242852906E9"
"6","50000","0.09","101","2.7540548526426125E9"
"8","70000","0.09","101","2.8177688831762614E9"
"5","40000","0.09","101","2.724623129293989E9"
"7","60000","0.09","101","2.7872712168136744E9"
"11","100000","0.09","101","2.917852073108291E9"
"9","80000","0.09","101","2.8491144857461877E9"
"10","90000","0.09","101","2.8804685211736097E9"
"12","110000","0.09","101","2.9548940235375137E9"
"14","130000","0.09","101","3.033033271023348E9"
"13","120000","0.09","101","2.991283342608146E9"
"15","140000","0.09","101","3.0747638150442114E9"
"16","150000","0.09","101","3.1155574071708837E9"
"17","160000","0.09","101","3.1561133625809355E9"
"18","170000","0.09","101","3.199059920884353E9"
"19","180000","0.09","101","3.2433258695753427E9"
"20","190000","0.09","101","3.290353229031941E9"
"22","210000","0.09","101","3.385051715597428E9"
"21","200000","0.09","101","3.336658345862889E9"
"23","220000","0.09","101","3.43826629205514E9"
"24","230000","0.09","101","3.4926727599668083E9"
"26","250000","0.09","101","3.5984022656037807E9"
"25","240000","0.09","101","3.546980372416729E9"
"27","260000","0.09","101","3.64911174171969E9"
"28","270000","0.09","101","3.703742072324548E9"
"29","280000","0.09","101","3.7619085622280006E9"
"30","290000","0.09","101","3.818303615693806E9"
"31","300000","0.09","101","3.8769670008737936E9"
"32","310000","0.09","101","3.9372934686362686E9"
"33","320000","0.09","101","3.9975309210862074E9"
"35","340000","0.09","101","4.1204860375461917E9"
"34","330000","0.09","101","4.0588829935186653E9"
"36","350000","0.09","101","4.184864379668306E9"
"37","360000","0.09","101","4.248301223926365E9"
"39","380000","0.09","101","4.38257201100193E9"
"38","370000","0.09","101","4.315218170100172E9"
"40","390000","0.09","101","4.451100420486588E9"
"41","400000","0.09","101","4.520783954200909E9"
"42","410000","0.09","101","4.590940759628649E9"
"43","420000","0.09","101","4.661954098095669E9"
"44","430000","0.09","101","4.733954970923346E9"
"45","440000","0.09","101","4.805626474323994E9"
"46","450000","0.09","101","4.879152727776051E9"
"48","470000","0.09","101","5.0298284334213E9"
"47","460000","0.09","101","4.953469855715178E9"
"49","480000","0.09","101","5.104677252116788E9"
"51","500000","0.09","101","5.257367306985553E9"
"50","490000","0.09","101","5.180188087647978E9"
"52","510000","0.09","101","5.33555006234808E9"
"53","520000","0.09","101","5.415686971926922E9"
"56","550000","0.09","101","5.656787581200415E9"
"55","540000","0.09","101","5.575613402878007E9"
"54","530000","0.09","101","5.496072227009194E9"
"57","560000","0.09","101","5.739675322794852E9"
"60","590000","0.09","101","5.990322247378374E9"
"59","580000","0.09","101","5.904771014672182E9"
"58","570000","0.09","101","5.821823145457359E9"
"61","600000","0.09","101","6.0730727624453535E9"
"63","620000","0.09","101","6.244132993171692E9"
"62","610000","0.09","101","6.158686609577837E9"
"64","630000","0.09","101","6.328828439830638E9"
"65","640000","0.09","101","6.415000226799191E9"
"67","660000","0.09","101","6.589305392934279E9"
"66","650000","0.09","101","6.501329628779834E9"
"68","670000","0.09","101","6.67507213290905E9"
"69","680000","0.09","101","6.763276671684182E9"
"70","690000","0.09","101","6.85198633043915E9"
"71","700000","0.09","101","6.94004567706321E9"
"72","710000","0.09","101","7.028173898619978E9"
"73","720000","0.09","101","7.116851051150723E9"
"74","730000","0.09","101","7.206901450322116E9"
"75","740000","0.09","101","7.297496516045147E9"
"76","750000","0.09","101","7.387243685670635E9"
"77","760000","0.09","101","7.479084165573445E9"
"78","770000","0.09","101","7.569515892880393E9"
"79","780000","0.09","101","7.660992699179936E9"
"80","790000","0.09","101","7.752578022832734E9"
"81","800000","0.09","101","7.845570526427311E9"
"82","810000","0.09","101","7.936994391048427E9"
"83","820000","0.09","101","8.030366620602658E9"
