[run number],Subsidy,Moving_Cost_Multiplier,[step],OBJECTIVE
3,0.03,1,34,1.35E+08
4,0.04,1,34,1.72E+08
1,0.01,1,35,5.97E+07
2,0.02,1,35,9.74E+07
7,0.07,1,33,2.85E+08
5,0.05,1,34,2.10E+08
8,0.08,1,33,3.22E+08
6,0.06,1,34,2.47E+08
10,0.1,1,33,3.97E+08
11,0.11,1,33,4.35E+08
9,0.09,1,33,3.60E+08
12,0.12,1,32,4.72E+08
13,0.13,1,32,5.10E+08
14,0.14,1,32,5.47E+08
15,0.15,1,32,5.85E+08
16,0.16,1,31,6.23E+08
17,0.17,1,31,6.60E+08
18,0.18,1,31,6.98E+08
19,0.19,1,31,7.37E+08
20,0.2,1,30,7.75E+08
21,0.21,1,30,8.13E+08
22,0.22,1,30,8.52E+08
23,0.23,1,30,8.91E+08
24,0.24,1,29,9.31E+08
25,0.25,1,29,9.70E+08
26,0.26,1,29,1.01E+09
27,0.27,1,29,1.05E+09
28,0.28,1,29,1.09E+09
29,0.29,1,28,1.13E+09
31,0.31,1,28,1.21E+09
30,0.3,1,28,1.17E+09
32,0.32,1,28,1.25E+09
33,0.33,1,27,1.29E+09
34,0.34,1,27,1.32E+09
35,0.35,1,27,1.36E+09
36,0.36,1,27,1.40E+09
37,0.37,1,26,1.44E+09
39,0.39,1,26,1.52E+09
38,0.38,1,26,1.48E+09
40,0.4,1,26,1.56E+09
41,0.41,1,25,1.60E+09
42,0.42,1,25,1.64E+09
43,0.43,1,25,1.67E+09
44,0.44,1,25,1.71E+09
45,0.45,1,24,1.75E+09
46,0.46,1,24,1.79E+09
47,0.47,1,24,1.83E+09
48,0.48,1,23,1.87E+09
49,0.49,1,23,1.91E+09
50,0.5,1,23,1.95E+09
51,0.51,1,23,1.99E+09
52,0.52,1,22,2.02E+09
53,0.53,1,22,2.06E+09
54,0.54,1,22,2.10E+09
55,0.55,1,21,2.14E+09
56,0.56,1,21,2.18E+09
57,0.57,1,21,2.22E+09
59,0.59,1,20,2.30E+09
58,0.58,1,21,2.26E+09
60,0.6,1,20,2.34E+09
61,0.61,1,20,2.38E+09
62,0.62,1,19,2.41E+09
63,0.63,1,19,2.45E+09
64,0.64,1,19,2.49E+09
65,0.65,1,18,2.53E+09
66,0.66,1,18,2.57E+09
67,0.67,1,18,2.61E+09
68,0.68,1,17,2.65E+09
69,0.69,1,17,2.69E+09
71,0.71,1,16,2.77E+09
70,0.7,1,17,2.73E+09
72,0.72,1,16,2.81E+09
73,0.73,1,16,2.84E+09
