"BehaviorSpace results (NetLogo 6.1.1)"
"/Users/markzhou/Documents/GitHub/GameTheoryFloodReloc/Netlogo/ObjRun.nlogo"
"best_Subsidy"
"11/08/2019 13:09:20:216 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1000","0","0","1000"
"[run number]","Subsidy","Moving_Cost_Multiplier","[step]","OBJECTIVE"
"3","30000","1","101","3.237962270250628E8"
"2","20000","1","101","2.3282025420478126E8"
"4","40000","1","101","4.166734431619145E8"
"1","10000","1","101","1.450028219444856E8"
"7","70000","1","101","7.022825227558324E8"
"5","50000","1","101","5.107273654433592E8"
"8","80000","1","101","7.99332835552664E8"
"6","60000","1","101","6.05891493917835E8"
"10","100000","1","101","9.956302562109957E8"
"11","10000","2","101","4.071116002633389E8"
"9","90000","1","101","8.972633997654419E8"
"12","20000","2","101","4.8280150563350874E8"
"15","50000","2","101","7.076974301391993E8"
"13","30000","2","101","5.587176001735448E8"
"16","60000","2","101","7.826058836943051E8"
"14","40000","2","101","6.330701481673048E8"
"18","80000","2","101","9.371402366889066E8"
"17","70000","2","101","8.586099425543419E8"
"19","90000","2","101","1.0178687891026982E9"
"20","100000","2","101","1.100640984765147E9"
