"BehaviorSpace results (NetLogo 6.1.1)"
"/Users/tikumporn/Desktop/GitHub/GameTheoryFloodReloc/Netlogo/01_20_2_Subsidy_PctHousePrice.nlogo"
"best_SubsidyPerc"
"01/23/2021 15:24:24:677 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1000","0","0","1000"
"[run number]","Subsidy_percentage","[step]","OBJECTIVE"
"1","0","81","1.2632732014688984E7"
"4","3.0E-4","81","1.2632982214688983E7"
"3","2.0E-4","81","1.263289881468898E7"
"2","1.0E-4","81","1.2632815414688982E7"
"6","5.0E-4","81","1.2633149014688984E7"
"5","4.0E-4","81","1.2633065614688981E7"
"7","6.0E-4","81","1.2574910892730739E7"
"8","7.0E-4","81","1.257503708541787E7"
"9","8.0E-4","81","1.2575163278105006E7"
"10","9.0E-4","81","1.2562962513026979E7"
"11","0.001","81","1.256313698321411E7"
"12","0.0011","81","1.2563311453401241E7"
"14","0.0013","81","1.2549085697952636E7"
"13","0.0012","81","1.2564383523588374E7"
"15","0.0014","81","1.2549379766789768E7"
"16","0.0015","81","1.25496738356269E7"
"17","0.0016","81","1.2549967904464033E7"
"18","0.0017","81","1.2550261973301165E7"
"19","0.0018","81","1.2550556042138297E7"
"20","0.0019","81","1.255085011097543E7"
"22","0.0021","81","1.2551438248649694E7"
"21","0.002","81","1.2551144179812562E7"
"23","0.0022","81","1.2551732317486826E7"
"24","0.0023","81","1.2552026386323957E7"
"25","0.0024","81","1.2545368447735857E7"
"26","0.0025","81","1.254569572657299E7"
"27","0.0026","81","1.2546023005410122E7"
"28","0.0027","81","1.2546350284247253E7"
"29","0.0028","81","1.2546677563084386E7"
"30","0.0029","81","1.2547004841921518E7"
"31","0.003","81","1.2547332120758649E7"
"32","0.0031","81","1.2547659399595782E7"
"33","0.0032","81","1.2547986678432913E7"
"34","0.0033","81","1.2550640457270045E7"
"35","0.0034","81","1.2539372311435554E7"
"36","0.0035","81","1.2539843844147686E7"
"37","0.0036","81","1.2540315376859818E7"
"38","0.0037","81","1.254078690957195E7"
"39","0.0038","81","1.2541258442284081E7"
"40","0.0039","81","1.2544608174996214E7"
"41","0.004","81","1.2545153507708346E7"
"42","0.0041","81","1.2545698840420477E7"
"43","0.0042","81","1.254624417313261E7"
"44","0.0043","81","1.2546789505844742E7"
"45","0.0044","81","1.2547334838556875E7"
"47","0.0046","81","1.254842550398114E7"
"46","0.0045","81","1.2547880171269007E7"
"48","0.0047","81","1.254897083669327E7"
"49","0.0048","81","1.2549516169405403E7"
"50","0.0049","81","1.2550061502117535E7"
"51","0.005","81","1.2550606834829666E7"
"52","0.0051","81","1.25542937675418E7"
"53","0.0052","81","1.255849390025393E7"
"54","0.0053","81","1.2559169932966063E7"
"55","0.0054","81","1.2550636146378942E7"
"56","0.0055","81","1.2551373955841076E7"
"57","0.0056","81","1.2552111765303206E7"
"58","0.0057","81","1.2554724874765338E7"
"59","0.0058","81","1.255549558422747E7"
"60","0.0059","81","1.2556266293689603E7"
"61","0.006","81","1.2557037003151735E7"
"62","0.0061","81","1.2557807712613866E7"
"63","0.0062","81","1.2558578422075998E7"
"64","0.0063","81","1.255934913153813E7"
"65","0.0064","81","1.2560119841000263E7"
"66","0.0065","81","1.2560890550462395E7"
"67","0.0066","81","1.2563984459924527E7"
"68","0.0067","81","1.256479036938666E7"
"69","0.0068","81","1.2560076637264278E7"
"70","0.0069","81","1.2510219676307341E7"
"71","0.007","81","1.248274366651352E7"
"72","0.0071","81","1.2483665265253177E7"
"73","0.0072","81","1.2484586863992834E7"
"74","0.0073","81","1.248899530773249E7"
"76","0.0075","81","1.249093403521181E7"
"75","0.0074","81","1.2489964671472149E7"
"77","0.0076","81","1.2508729798951467E7"
"78","0.0077","81","1.2509920562691124E7"
"79","0.0078","81","1.2511111326430785E7"
"80","0.0079","81","1.2512302090170441E7"
"81","0.008","81","1.2513492853910102E7"
"82","0.0081","81","1.2507382266827064E7"
"83","0.0082","81","1.2513985309879223E7"
"84","0.0083","81","1.2515299052931381E7"
"85","0.0084","81","1.251661279598354E7"
"86","0.0085","81","1.2517926539035698E7"
"87","0.0086","81","1.2519240282087853E7"
"88","0.0087","81","1.2520554025140015E7"
"89","0.0088","81","1.252186776819217E7"
"90","0.0089","81","1.2523181511244329E7"
"91","0.009","81","1.252449525429649E7"
"92","0.0091","81","1.2525808997348646E7"
"93","0.0092","81","1.2527122740400804E7"
"94","0.0093","81","1.2528436483452963E7"
"95","0.0094","81","1.2536687426505124E7"
"96","0.0095","81","1.2538074969557283E7"
"97","0.0096","81","1.2539462512609439E7"
"98","0.0097","81","1.2540850055661598E7"
"99","0.0098","81","1.2542237598713757E7"
"100","0.0099","81","1.2547917534265915E7"
"101","0.01","81","1.2549348434818072E7"
"102","0.0101","81","1.2550779335370233E7"
"103","0.0102","81","1.255221023592239E7"
"104","0.0103","81","1.2553641136474548E7"
"105","0.0104","81","1.2555072037026705E7"
"106","0.0105","81","1.2556502937578866E7"
"107","0.0106","81","1.2557933838131024E7"
"108","0.0107","81","1.256601104368318E7"
"109","0.0108","81","1.256750405923534E7"
"110","0.0109","81","1.25689970747875E7"
"111","0.011","81","1.2570490090339655E7"
"112","0.0111","81","1.2571983105891814E7"
"113","0.0112","81","1.2573476121443974E7"
"114","0.0113","81","1.2574969136996133E7"
"115","0.0114","81","1.2576462152548289E7"
"116","0.0115","81","1.2577955168100448E7"
"117","0.0116","81","1.2579448183652608E7"
"118","0.0117","81","1.2580941199204767E7"
"119","0.0118","81","1.2582434214756923E7"
"120","0.0119","81","1.2598271490309084E7"
"121","0.012","81","1.2599885045861239E7"
"122","0.0121","81","1.26014986014134E7"
"123","0.0122","81","1.260311215696556E7"
"124","0.0123","81","1.2604725712517718E7"
"125","0.0124","81","1.2606339268069876E7"
"126","0.0125","81","1.2607952823622035E7"
"127","0.0126","81","1.2563728364669861E7"
"128","0.0127","81","1.2565372469445886E7"
"129","0.0128","81","1.2576309374221915E7"
"130","0.0129","81","1.2578026078997942E7"
"131","0.013","81","1.2579742783773968E7"
"132","0.0131","81","1.258701388855E7"
"133","0.0132","81","1.2588772993326025E7"
"134","0.0133","81","1.2590532098102054E7"
"135","0.0134","81","1.2620123002878083E7"
"136","0.0135","81","1.2622089807654107E7"
"137","0.0136","81","1.2624056612430135E7"
"138","0.0137","81","1.2626023417206166E7"
"139","0.0138","81","1.262799022198219E7"
"140","0.0139","81","1.2629957026758218E7"
"141","0.014","81","1.2631923831534246E7"
"142","0.0141","81","1.2633890636310274E7"
"143","0.0142","81","1.2632148117282962E7"
"144","0.0143","81","1.2634175227933994E7"
"145","0.0144","81","1.2636202338585021E7"
"146","0.0145","81","1.2638229449236048E7"
"147","0.0146","81","1.2640256559887076E7"
"148","0.0147","81","1.2642283670538103E7"
"149","0.0148","81","1.264431078118913E7"
"150","0.0149","81","1.2601138571926517E7"
"151","0.015","81","1.2603196469538564E7"
"152","0.0151","81","1.260525436715061E7"
"153","0.0152","81","1.2604140208157254E7"
"154","0.0153","81","1.2606254524331803E7"
"155","0.0154","81","1.2608368840506354E7"
"156","0.0155","81","1.2621488156680899E7"
"157","0.0156","81","1.2620718112811567E7"
"159","0.0158","81","1.2625200531660663E7"
"158","0.0157","81","1.2622959322236115E7"
"160","0.0159","81","1.262744174108521E7"
"161","0.016","81","1.264019535050976E7"
"162","0.0161","81","1.2642502262434306E7"
"163","0.0162","81","1.2644809174358854E7"
"164","0.0163","81","1.2647116086283403E7"
"165","0.0164","81","1.2649422998207951E7"
"167","0.0166","81","1.2654036822057044E7"
"166","0.0165","81","1.2651729910132496E7"
"168","0.0167","81","1.2656343733981593E7"
"169","0.0168","81","1.2658650645906141E7"
"170","0.0169","81","1.266095755783069E7"
"171","0.017","81","1.2663264469755238E7"
"172","0.0171","81","1.2665571381679786E7"
"173","0.0172","81","1.2667878293604331E7"
"174","0.0173","81","1.267018520552888E7"
"175","0.0174","81","1.2672492117453428E7"
"176","0.0175","81","1.2674799029377973E7"
"177","0.0176","81","1.2677105941302521E7"
"178","0.0177","81","1.267941285322707E7"
"179","0.0178","81","1.2681719765151618E7"
"180","0.0179","81","1.2696019677076166E7"
"181","0.018","81","1.2698393589000711E7"
"182","0.0181","81","1.270076750092526E7"
"183","0.0182","81","1.270770919687217E7"
"184","0.0183","81","1.2710167808421718E7"
"185","0.0184","81","1.2712626419971267E7"
"186","0.0185","81","1.2715085031520812E7"
"187","0.0186","81","1.271754364307036E7"
"188","0.0187","81","1.2720002254619906E7"
"189","0.0188","81","1.2722460866169458E7"
"190","0.0189","81","1.2724919477719003E7"
"191","0.019","81","1.2727378089268552E7"
"192","0.0191","81","1.2741774200818101E7"
"193","0.0192","81","1.2757831312367646E7"
"194","0.0193","81","1.2760422923917199E7"
"195","0.0194","81","1.2763014535466744E7"
"196","0.0195","81","1.2765606147016292E7"
"197","0.0196","81","1.277960495856584E7"
"198","0.0197","81","1.2782254770115389E7"
"199","0.0198","81","1.2784904581664937E7"
"200","0.0199","81","1.2787554393214481E7"
"201","0.02","81","1.2816731204764029E7"
"202","0.0201","81","1.2819513651313579E7"
"203","0.0202","81","1.2822296097863125E7"
"204","0.0203","81","1.2825078544412674E7"
"205","0.0204","81","1.282786099096222E7"
"206","0.0205","81","1.283064343751177E7"
"207","0.0206","81","1.2833425884061316E7"
"208","0.0207","81","1.2836208330610862E7"
"209","0.0208","81","1.283934960974984E7"
"210","0.0209","81","1.2842192782424388E7"
"211","0.021","81","1.2845035955098936E7"
"212","0.0211","81","1.2847879127773484E7"
"213","0.0212","81","1.2850722300448032E7"
