"BehaviorSpace results (NetLogo 6.1.1)"
"/Users/tikumporn/Desktop/GitHub/GameTheoryFloodReloc/Netlogo/01_18_ObjRun.nlogo"
"best_Subsidy"
"01/18/2021 22:02:26:510 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1000","0","0","1000"
"[run number]","Subsidy","[step]","OBJECTIVE"
"2","10000","81","1.6686577299956894E7"
"4","30000","81","1.94221154941421E7"
"3","20000","81","1.783890528295975E7"
"1","0","81","1.5631228545886362E7"
"5","40000","81","2.1373224231605824E7"
"7","60000","81","2.51287229582674E7"
"6","50000","81","2.3036284190235108E7"
"8","70000","81","2.735220849063926E7"
"10","90000","81","3.117089026070296E7"
"12","110000","81","3.50059027963994E7"
"9","80000","81","2.917974277270928E7"
"11","100000","81","3.297653901198923E7"
"13","120000","81","3.722293801744732E7"
"14","130000","81","3.959071458652243E7"
"15","140000","81","4.184999228350843E7"
"16","150000","81","4.383587811925911E7"
"19","180000","81","4.981743258071322E7"
"18","170000","81","4.765299955808492E7"
"17","160000","81","4.5833857504082374E7"
"20","190000","81","5.194449183474202E7"
"21","200000","81","5.432789187094847E7"
"22","210000","81","5.66000988935179E7"
"23","220000","81","5.883903406570756E7"
"24","230000","81","6.115261612841026E7"
"25","240000","81","6.348795619481376E7"
"26","250000","81","6.585865223508074E7"
"27","260000","81","6.833657100097305E7"
"28","270000","81","7.085790256271501E7"
"29","280000","81","7.32776166262469E7"
"31","300000","81","7.813385278192246E7"
"32","310000","81","8.077454316964245E7"
"30","290000","81","7.578456382303824E7"
"33","320000","81","8.324541293421392E7"
"34","330000","81","8.571229956978215E7"
"36","350000","81","9.110546560687025E7"
"35","340000","81","8.838668049806394E7"
"38","370000","81","9.635115336634919E7"
"37","360000","81","9.37603764646142E7"
"39","380000","81","9.900372438138992E7"
"40","390000","81","1.0157869529580629E8"
"41","400000","81","1.0420239209358196E8"
"43","420000","81","1.0945259097787464E8"
"42","410000","81","1.0681066117104831E8"
"44","430000","81","1.1218379834851168E8"
"45","440000","81","1.1480200781815866E8"
"46","450000","81","1.1744123071761274E8"
"47","460000","81","1.2009755967330937E8"
"48","470000","81","1.227587035020713E8"
"52","510000","81","1.3345829268292674E8"
"50","490000","81","1.2803341463414636E8"
"49","480000","81","1.2537555862552862E8"
"51","500000","81","1.3074390243902433E8"
"54","530000","81","1.3932536585365847E8"
"55","540000","81","1.425204878048781E8"
"53","520000","81","1.366331707317073E8"
"56","550000","81","146300000"
"59","580000","81","157760000"
"57","560000","81","149520000"
"58","570000","81","153900000"
"60","590000","81","163430000"
"62","610000","81","176290000"
"61","600000","81","168000000"
"63","620000","81","187240000"
"64","630000","81","204750000"
"65","640000","81","233600000"
"66","650000","81","255450000"
"67","660000","81","287100000"
"68","670000","81","343040000"
"70","690000","81","427800000"
"69","680000","81","395080000"
"71","700000","81","434000000"
"72","710000","81","440200000"
"75","740000","81","458800000"
"73","720000","81","446400000"
"74","730000","81","452600000"
"76","750000","81","465000000"
"77","760000","81","471200000"
"78","770000","81","477400000"
"79","780000","81","483600000"
"80","790000","81","489800000"
"81","800000","81","496000000"
"82","810000","81","502200000"
"83","820000","81","508400000"
"84","830000","81","514600000"
"85","840000","81","520800000"
"86","850000","81","527000000"
"87","860000","81","533200000"
"88","870000","81","539400000"
"90","890000","81","551800000"
"89","880000","81","545600000"
"91","900000","81","558000000"
"92","910000","81","564200000"
"93","920000","81","570400000"
"94","930000","81","576600000"
"95","940000","81","582800000"
"96","950000","81","589000000"
"97","960000","81","595200000"
"98","970000","81","601400000"
"99","980000","81","607600000"
"100","990000","81","613800000"
"101","1000000","81","620000000"
