"BehaviorSpace results (NetLogo 6.1.1)"
"/Users/markzhou/Documents/GitHub/GameTheoryFloodReloc/Netlogo/ObjRun.nlogo"
"best_Subsidy"
"11/19/2019 14:22:31:478 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1000","0","0","1000"
"[run number]","Subsidy","Moving_Cost_Multiplier","[step]","OBJECTIVE"
"4","30000","4","101","1.2268734663634692E8"
"3","20000","4","101","1.2273084782118692E8"
"1","0","4","101","1.2187345280949038E8"
"2","10000","4","101","1.2262450149758781E8"
"5","40000","4","101","1.2322845565073313E8"
"6","50000","4","101","1.241173770510374E8"
"7","60000","4","101","1.2495824798312713E8"
"8","70000","4","101","1.2550489596017243E8"
"9","80000","4","101","1.2637986436640073E8"
"11","100000","4","101","1.2885478978384018E8"
"10","90000","4","101","1.2741647962199461E8"
"12","0","4.1","101","1.2900990394541958E8"
"13","10000","4.1","101","1.300272155345629E8"
"14","20000","4.1","101","1.3159180729007465E8"
"15","30000","4.1","101","1.3267297375519328E8"
"16","40000","4.1","101","1.3404451653288716E8"
"17","50000","4.1","101","1.3396204630011345E8"
"19","70000","4.1","101","1.353881870036106E8"
"20","80000","4.1","101","1.3511578439445838E8"
"18","60000","4.1","101","1.3414379684002154E8"
"21","90000","4.1","101","1.3557998508697057E8"
"22","100000","4.1","101","1.361592738237313E8"
"23","0","4.2","101","1.3789116387830496E8"
"24","10000","4.2","101","1.3895503570184118E8"
"25","20000","4.2","101","1.3890627555961332E8"
"26","30000","4.2","101","1.39526314340257E8"
"27","40000","4.2","101","1.40938945455678E8"
"28","50000","4.2","101","1.4247094235653082E8"
"29","60000","4.2","101","1.4402601225114217E8"
"30","70000","4.2","101","1.4535604750843188E8"
"31","80000","4.2","101","1.4590581706696716E8"
"32","90000","4.2","101","1.4627211213640833E8"
"33","100000","4.2","101","1.4645559692317942E8"
"34","0","4.3","101","1.4796860102832723E8"
"35","10000","4.3","101","1.486726252444467E8"
"36","20000","4.3","101","1.4850207861433664E8"
"37","30000","4.3","101","1.4881049145285454E8"
"38","40000","4.3","101","1.501569524950265E8"
"39","50000","4.3","101","1.5053109817656335E8"
"40","60000","4.3","101","1.510114967174583E8"
"41","70000","4.3","101","1.5235618462013927E8"
"42","80000","4.3","101","1.533099322022669E8"
"43","90000","4.3","101","1.5424450684945613E8"
"44","100000","4.3","101","1.5581254919057155E8"
"45","0","4.4","101","1.6121019135505858E8"
"47","20000","4.4","101","1.6070347716825593E8"
"46","10000","4.4","101","1.6061425544491324E8"
"48","30000","4.4","101","1.610365700471789E8"
"49","40000","4.4","101","1.5968320741987032E8"
"51","60000","4.4","101","1.605431224330062E8"
"50","50000","4.4","101","1.6075075329205608E8"
"52","70000","4.4","101","1.606976822087481E8"
"53","80000","4.4","101","1.6139210680658612E8"
"54","90000","4.4","101","1.6205530070771712E8"
"55","100000","4.4","101","1.6319428086157838E8"
"56","0","4.5","101","1.7251675759968832E8"
"57","10000","4.5","101","1.730727168821378E8"
"58","20000","4.5","101","1.7324840931692752E8"
"59","30000","4.5","101","1.7291796208165082E8"
"60","40000","4.5","101","1.7269731595273986E8"
"61","50000","4.5","101","1.731562147756835E8"
"62","60000","4.5","101","1.736092660926178E8"
"63","70000","4.5","101","1.7301598625989842E8"
"64","80000","4.5","101","1.7366432566410664E8"
"65","90000","4.5","101","1.7442314364902428E8"
"66","100000","4.5","101","1.7272390076228163E8"
"67","0","4.6","101","1.8369755289310086E8"
"68","10000","4.6","101","1.8391986839921975E8"
"69","20000","4.6","101","1.8424777255569172E8"
"70","30000","4.6","101","1.8437071235158148E8"
"71","40000","4.6","101","1.8457986770670196E8"
"72","50000","4.6","101","1.8416891092330274E8"
"73","60000","4.6","101","1.850178167730065E8"
"74","70000","4.6","101","1.850441482375522E8"
"75","80000","4.6","101","1.8506751881937373E8"
"76","90000","4.6","101","1.8580812732670805E8"
"77","100000","4.6","101","1.8602714901550093E8"
"78","0","4.7","101","1.9853243725006628E8"
"79","10000","4.7","101","1.9822330373859933E8"
"80","20000","4.7","101","1.986651172150601E8"
"81","30000","4.7","101","1.9684085938170114E8"
"82","40000","4.7","101","1.9583799455981398E8"
"83","50000","4.7","101","1.9710017852583504E8"
"84","60000","4.7","101","1.974138288132626E8"
"85","70000","4.7","101","1.9770783035473955E8"
"86","80000","4.7","101","1.9843188454104272E8"
"87","90000","4.7","101","1.958401136640528E8"
"88","100000","4.7","101","1.9618456572870216E8"
"89","0","4.8","101","2.1368757076816675E8"
"90","10000","4.8","101","2.1339970883471048E8"
"91","20000","4.8","101","2.1318861564298108E8"
"92","30000","4.8","101","2.1299952106686103E8"
"93","40000","4.8","101","2.1269995567458212E8"
"94","50000","4.8","101","2.1178515283144173E8"
"95","60000","4.8","101","2.1162456469607037E8"
"96","70000","4.8","101","2.0969765381772995E8"
"97","80000","4.8","101","2.093372711963433E8"
"98","90000","4.8","101","2.0899751161602932E8"
"99","100000","4.8","101","2.1037673562614048E8"
"100","0","4.9","101","2.291111288881814E8"
"101","10000","4.9","101","2.2707998507790145E8"
"102","20000","4.9","101","2.2752235688237306E8"
"103","30000","4.9","101","2.272132642254438E8"
"104","40000","4.9","101","2.2757478989089692E8"
"105","50000","4.9","101","2.2718463229966682E8"
"106","60000","4.9","101","2.2618029195698094E8"
"107","70000","4.9","101","2.2566196751548222E8"
"108","80000","4.9","101","2.2534605300740662E8"
"109","90000","4.9","101","2.2494103098697513E8"
