"TableName","State","Total","SumOfBatchID"
"utBKManagedSpecific","01","2997230","13153840002777"
"utBuilding","01","3032272","48213231172167"
"utBuildingAreas","01","5631296","54027341396115"
"utCareOfName","01","199314","4481270705623"
"utExteriorWall","01","1634753","30643663938888"
"utExtraFeature","01","357621","2742241968753"
"utGarage","01","984622","6651921968549"
"utInteriorFlooring","01","2118220","38439377593049"
"utInteriorWall","01","1442615","32365283695827"
"utLotSiteAppeal","01","15694","65519867291"
"utMailAddress","01","3030465","46405334367102"
"utMain","01","3030465","46405334367102"
"utName","01","3102734","47592880106938"
"utOby","01","628139","7429475343753"
"utPool","01","121221","1469925007027"
"utSaleData","01","3064124","35525475031458"
"utTaxDistrict","01","714409","36243623177788"
"utTaxExemption","01","1421180","19905556451683"
"utTypeConstruction","01","304017","1313613288303"
"utValue","01","3030465","46405334367102"
"utVestingCodes","01","44758","665732165536"
"utBKManagedSpecific","02","829955","1645159780991"
"utBuilding","02","841098","12793627196867"
"utBuildingAreas","02","593042","16539446476928"
"utCareOfName","02","6983","324848339048"
"utExteriorWall","02","106764","5266539341135"
"utExtraFeature","02","194090","878447948812"
"utGarage","02","228767","2856269094715"
"utInteriorFlooring","02","23","23011346268"
"utLotSiteAppeal","02","21716","93906934071"
"utMailAddress","02","841096","12793618598843"
"utMain","02","841098","12793627196867"
"utName","02","937622","15634473570573"
"utOby","02","79649","460118647178"
"utPool","02","12540","57343301881"
"utSaleData","02","1181790","10112382056304"
"utTaxDistrict","02","161267","699228398932"
"utTaxExemption","02","123078","3217335137108"
"utTypeConstruction","02","6051","28939650326"
"utValue","02","841098","12793627196867"
"utVestingCodes","02","178","749643234"
"utBKManagedSpecific","04","3267570","19912387584867"
"utBuilding","04","3267570","19912387584867"
"utBuildingAreas","04","3227994","20492074290254"
"utCareOfName","04","116872","835398756607"
"utExteriorWall","04","1904482","10856313661058"
"utExtraFeature","04","102454","538684634241"
"utGarage","04","2194607","10341348599102"
"utInteriorFlooring","04","1794","8072200035"
"utInteriorWall","04","113077","515900871264"
"utLotSiteAppeal","04","23967","109046293304"
"utMailAddress","04","3267570","19912387584867"
"utMain","04","3267570","19912387584867"
"utName","04","3395183","20957742330330"
"utOby","04","1411488","7008265260829"
"utPool","04","445851","1984912768123"
"utSaleData","04","3037738","16063877757814"
"utTaxExemption","04","83039","1815975549384"
"utTypeConstruction","04","954489","4264912384880"
"utValue","04","3267570","19912387584867"
"utVestingCodes","04","281341","1292699216564"
"utBKManagedSpecific","05","2258204","234009731872461"
"utBuilding","05","2258204","234009731872461"
"utBuildingAreas","05","4083676","426049460063445"
"utCareOfName","05","125163","7395405688842"
"utExteriorWall","05","836704","92180926911130"
"utExtraFeature","05","2136518","255005469185274"
"utGarage","05","1699805","187671170682384"
"utInteriorFlooring","05","1753435","203820716299417"
"utInteriorWall","05","23211","3662729585150"
"utLotSiteAppeal","05","1382","5192717906"
"utMailAddress","05","2258204","234009731872461"
"utMain","05","2258204","234009731872461"
"utName","05","2327754","238004277038265"
"utOby","05","1564225","191389314710443"
"utPool","05","73024","13243968563559"
"utSaleData","05","3661223","387159393353011"
"utTaxDistrict","05","986345","37799122342058"
"utTaxExemption","05","865284","87090644352960"
"utTypeConstruction","05","861929","111119840454030"
"utValue","05","2258204","234009731872461"
"utVestingCodes","05","3409","36268671971"
"utBKManagedSpecific","06","12170239","572602471429680"
"utBuilding","06","12886702","1289420315570122"
"utBuildingAreas","06","16859713","2502482404783186"
"utCareOfName","06","954854","68354426851992"
"utExteriorWall","06","40087","189052483351"
"utExtraFeature","06","185465","30984684067397"
"utGarage","06","10724317","1329714687885842"
"utInteriorFlooring","06","9","9004366269"
"utInteriorWall","06","1","4481015"
"utLotSiteAppeal","06","1787223","56900726300755"
"utMailAddress","06","12946372","1349120503512856"
"utMain","06","12946372","1349120503512856"
"utName","06","15200355","1562788522348483"
"utOby","06","643486","97584148282490"
"utPool","06","1503378","269400541621270"
"utSaleData","06","13290627","1662504983006244"
"utTaxDistrict","06","3572036","16352181008081"
"utTaxExemption","06","5110010","645468983188005"
"utTypeConstruction","06","1592070","7227302314128"
"utValue","06","12946372","1349120503512856"
"utVestingCodes","06","235800","5985227820654"
"utBKManagedSpecific","08","2597086","1123510830402831"
"utBuilding","08","2690620","1175786082050058"
"utBuildingAreas","08","7915673","3913349133527377"
"utCareOfName","08","115123","42884836496391"
"utExteriorWall","08","1497105","854989819158819"
"utExtraFeature","08","572133","416633139464591"
"utGarage","08","2686527","1324154411005694"
"utInteriorFlooring","08","375234","53224242210047"
"utInteriorWall","08","1100996","619041375178813"
"utLotSiteAppeal","08","122080","85267593256451"
"utMailAddress","08","2687364","1172816390632773"
"utMain","08","2687364","1172816390632773"
"utName","08","2976860","1211552445481752"
"utOby","08","531347","229475753732087"
"utPool","08","63319","22792732026120"
"utSaleData","08","4307979","1907057138629692"
"utTaxDistrict","08","845954","763499474381411"
"utTaxExemption","08","109557","33244933700616"
"utTypeConstruction","08","1362014","602709760978917"
"utValue","08","2687364","1172816390632773"
"utVestingCodes","08","22548","8791517141869"
"utBKManagedSpecific","09","1337453","6310150100975"
"utBuilding","09","1337453","6310150100975"
"utBuildingAreas","09","3549178","16745015502457"
"utCareOfName","09","100","471334619"
"utExteriorWall","09","1114931","5260613785421"
"utExtraFeature","09","262391","1237250031134"
"utGarage","09","487094","2298004225391"
"utLotSiteAppeal","09","2051","9667317121"
"utMailAddress","09","1337453","6310150100975"
"utMain","09","1337453","6310150100975"
"utName","09","1898731","8958103674118"
"utOby","09","963335","4544878547510"
"utPool","09","91595","432050758922"
"utSaleData","09","1252815","5910954504788"
"utTypeConstruction","09","383411","1808919896309"
"utValue","09","1337453","6310150100975"
"utVestingCodes","09","107879","509056884285"
"utBKManagedSpecific","10","480464","2129239586693"
