"TableName","State","Total","SumOfBatchID"
"utBKManagedSpecific","01","4598785","47697140691681"
"utBorrowerMailAddress","01","219108","1584172803436"
"utBorrowerName","01","3399089","37806457926088"
"utBorrowerNameDescriptionCode","01","2751279","33347491336431"
"utBuyerMailAddress","01","2584092","24925664202953"
"utBuyerName","01","3702839","35496259595795"
"utBuyerNameDescriptionCode","01","3282921","33181283762778"
"utForeclosureNameAddress","01","177965","4791551820034"
"utForeclosureOriginalLoan","01","21226","944063567551"
"utLegacy","01","22893","97587115765"
"utMain","01","4786358","52538860810671"
"utPropertyInfo","01","4843126","53208951867014"
"utSellerMailAddress","01","671741","4226187836547"
"utSellerName","01","3828782","34778633398957"
"utSellerNameDescriptionCode","01","3451704","33160829756506"
"utBKManagedSpecific","02","724783","25089778756392"
"utBorrowerMailAddress","02","17","60779481"
"utBorrowerName","02","383314","30212473699043"
"utBorrowerNameDescriptionCode","02","364260","18558432738141"
"utBuyerMailAddress","02","502615","17200512168970"
"utBuyerName","02","746889","26618739175089"
"utBuyerNameDescriptionCode","02","743443","26523792266820"
"utForeclosureNameAddress","02","21549","18401106803558"
"utForeclosureNODNOSDoc","02","1129","1129569373893"
"utForeclosureOriginalLoan","02","6744","6181994266944"
"utLegacy","02","9864","197683969350"
"utMain","02","745993","43033702681061"
"utPropertyInfo","02","755576","43408438860951"
"utSellerMailAddress","02","456955","15760292811150"
"utSellerName","02","783546","28579986522105"
"utSellerNameDescriptionCode","02","670065","23878201452108"
"utBKManagedSpecific","04","13914610","976713026467989"
"utBorrowerMailAddress","04","15544","1438533054377"
"utBorrowerName","04","7003967","346432006114973"
"utBorrowerNameDescriptionCode","04","6329405","325640870525404"
"utBuyerMailAddress","04","10123475","774392985314108"
"utBuyerName","04","15580029","1183577352131678"
"utBuyerNameDescriptionCode","04","15093344","1151869185572221"
"utForeclosureNameAddress","04","1340696","384492868198"
"utForeclosureNODNOSDoc","04","301028","87760142365"
"utForeclosureOriginalLoan","04","722189","185143409728"
"utLegacy","04","243048","18009685212131"
"utMain","04","14967262","1001193239109484"
"utPropertyInfo","04","15506043","1067338806252199"
"utSellerMailAddress","04","2877009","300793171229644"
"utSellerName","04","15376418","1146700550820226"
"utSellerNameDescriptionCode","04","13750847","1029668455969673"
"utBKManagedSpecific","05","3581176","443464558981701"
"utBorrowerMailAddress","05","151860","1186033637687"
"utBorrowerName","05","2032477","276052253802910"
"utBorrowerNameDescriptionCode","05","1860187","264162095312345"
"utBuyerMailAddress","05","2409787","280269020691852"
"utBuyerName","05","3636174","440754744490610"
"utBuyerNameDescriptionCode","05","3402260","431240783852443"
"utForeclosureNameAddress","05","103619","70750949870"
"utForeclosureNODNOSDoc","05","2523","1626365030"
"utForeclosureOriginalLoan","05","50221","36952632696"
"utLegacy","05","5062","1468325736484"
"utMain","05","3668015","446551881908972"
